Team1                     ,Team1_Status,Team2                        ,Team2_Status,Date    ,Map        ,Event
Endpoint                  ,l           ,Complexity                   ,w           ,10-5-20 ,Dust2      ,Home Sweet Home Cup 3
TYLOO                     ,l           ,TIGER                        ,w           ,10-5-20 ,Overpass   ,ESL One: Road to Rio - Asia
TYLOO                     ,l           ,TIGER                        ,w           ,10-5-20 ,Overpass   ,ESL One: Road to Rio - Asia
TYLOO                     ,w           ,TIGER                        ,l           ,10-5-20 ,Overpass   ,ESL One: Road to Rio - Asia
PACT                      ,w           ,Illuminar                    ,l           ,10-5-20 ,Train      ,Esport Tour Pro
PACT                      ,l           ,Illuminar                    ,w           ,10-5-20 ,Train      ,Esport Tour Pro
PACT                      ,w           ,Illuminar                    ,l           ,10-5-20 ,Train      ,Esport Tour Pro
Renegades                 ,w           ,ORDER                        ,l           ,10-5-20 ,Dust2      ,ESL One: Road to Rio - Oceania
Renegades                 ,w           ,ORDER                        ,l           ,10-5-20 ,Dust2      ,ESL One: Road to Rio - Oceania
Renegades                 ,l           ,ORDER                        ,w           ,10-5-20 ,Dust2      ,ESL One: Road to Rio - Oceania
Paradox                   ,l           ,Rooster                      ,w           ,10-5-20 ,Inferno    ,ESL Australia & NZ Championship Season 11 Qualifier 1
Overt                     ,l           ,Paradox                      ,w           ,10-5-20 ,Inferno    ,ESL Australia & NZ Championship Season 11 Qualifier 1
Overt                     ,l           ,Paradox                      ,w           ,10-5-20 ,Inferno    ,ESL Australia & NZ Championship Season 11 Qualifier 1
Paradox                   ,l           ,Rooster                      ,w           ,10-5-20 ,Mirage     ,ESL Australia & NZ Championship Season 11 Qualifier 1
Paradox                   ,l           ,Rooster                      ,w           ,10-5-20 ,Mirage     ,ESL Australia & NZ Championship Season 11 Qualifier 1
Liquid                    ,l           ,FURIA                        ,w           ,9-5-20  ,Vertigo    ,ESL One: Road to Rio - North America
Liquid                    ,l           ,FURIA                        ,w           ,9-5-20  ,Vertigo    ,ESL One: Road to Rio - North America
100 Thieves               ,l           ,Envy                         ,w           ,9-5-20  ,Nuke       ,ESL One: Road to Rio - North America
100 Thieves               ,l           ,Envy                         ,w           ,9-5-20  ,Nuke       ,ESL One: Road to Rio - North America
100 Thieves               ,w           ,Envy                         ,l           ,9-5-20  ,Nuke       ,ESL One: Road to Rio - North America
Sprout                    ,l           ,Endpoint                     ,w           ,9-5-20  ,Train      ,Home Sweet Home Cup 3
Sprout                    ,l           ,Endpoint                     ,w           ,9-5-20  ,Train      ,Home Sweet Home Cup 3
Astralis                  ,w           ,ENCE                         ,l           ,9-5-20  ,Inferno    ,ESL One: Road to Rio - Europe
Astralis                  ,l           ,ENCE                         ,w           ,9-5-20  ,Inferno    ,ESL One: Road to Rio - Europe
Astralis                  ,w           ,ENCE                         ,l           ,9-5-20  ,Inferno    ,ESL One: Road to Rio - Europe
fnatic                    ,l           ,NiP                          ,w           ,9-5-20  ,Inferno    ,ESL One: Road to Rio - Europe
fnatic                    ,l           ,NiP                          ,w           ,9-5-20  ,Inferno    ,ESL One: Road to Rio - Europe
fnatic                    ,w           ,NiP                          ,l           ,9-5-20  ,Inferno    ,ESL One: Road to Rio - Europe
Dignitas                  ,l           ,Complexity                   ,w           ,9-5-20  ,Dust2      ,ESL One: Road to Rio - Europe
Dignitas                  ,l           ,Complexity                   ,w           ,9-5-20  ,Dust2      ,ESL One: Road to Rio - Europe
Heretics                  ,l           ,Vitality                     ,w           ,9-5-20  ,Dust2      ,ESL One: Road to Rio - Europe
Heretics                  ,l           ,Vitality                     ,w           ,9-5-20  ,Dust2      ,ESL One: Road to Rio - Europe
Apeks                     ,w           ,Riddle                       ,l           ,9-5-20  ,Nuke       ,Telia League Spring 2020
Apeks                     ,w           ,Riddle                       ,l           ,9-5-20  ,Nuke       ,Telia League Spring 2020
AGO                       ,l           ,SMASH                        ,w           ,9-5-20  ,Mirage     ,Home Sweet Home Cup 3
AGO                       ,l           ,SMASH                        ,w           ,9-5-20  ,Mirage     ,Home Sweet Home Cup 3
forZe                     ,l           ,Gambit Youngsters            ,w           ,9-5-20  ,Train      ,ESL One: Road to Rio - CIS
forZe                     ,w           ,Gambit Youngsters            ,l           ,9-5-20  ,Train      ,ESL One: Road to Rio - CIS
forZe                     ,l           ,Gambit Youngsters            ,w           ,9-5-20  ,Train      ,ESL One: Road to Rio - CIS
