Date    ,Teams                                                       ,Score         ,Map        ,Event                                                                ,Series
4-1-19  ,"['PACT', 'x-kom']"                                         ,"['11', '16']",Inferno    ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10731
4-1-19  ,"['x-kom', 'PACT']"                                         ,"['16', '9']" ,Mirage     ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10731
4-1-19  ,"['ROG SPUNJ', 'ROG HenryG']"                               ,"['8', '16']" ,Dust2      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10730
4-1-19  ,"['ROG IzakOOO', 'ROG pronax']"                             ,"['16', '10']",Mirage     ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10729
4-1-19  ,"['ROG ceh9', 'ROG nooky']"                                 ,"['16', '8']" ,Cache      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10728
4-1-19  ,"['ROG fl0m', 'ROG HOUNGOUNGAGNE']"                         ,"['7', '16']" ,Overpass   ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10727
5-1-19  ,"['ROG nooky', 'ROG SPUNJ']"                                ,"['16', '5']" ,Mirage     ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10726
5-1-19  ,"['ROG nooky', 'ROG SPUNJ']"                                ,"['16', '8']" ,Inferno    ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10726
5-1-19  ,"['ROG fl0m', 'ROG pronax']"                                ,"['16', '10']",Train      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10725
5-1-19  ,"['ROG pronax', 'ROG fl0m']"                                ,"['16', '3']" ,Inferno    ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10725
5-1-19  ,"['ROG fl0m', 'ROG pronax']"                                ,"['16', '12']",Overpass   ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10725
5-1-19  ,"['London', 'CeX']"                                         ,"['8', '16']" ,Overpass   ,ESL Premiership Winter 2018 Finals                                   ,10724
5-1-19  ,"['CeX', 'London']"                                         ,"['3', '16']" ,Inferno    ,ESL Premiership Winter 2018 Finals                                   ,10724
5-1-19  ,"['London', 'CeX']"                                         ,"['16', '14']",Dust2      ,ESL Premiership Winter 2018 Finals                                   ,10724
5-1-19  ,"['ROG HenryG', 'ROG ceh9']"                                ,"['19', '22']",Cache      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10723
5-1-19  ,"['Endpoint', 'Orgles5']"                                   ,"['16', '9']" ,Mirage     ,ESL Premiership Winter 2018 Finals                                   ,10722
5-1-19  ,"['Orgles5', 'Endpoint']"                                   ,"['11', '16']",Overpass   ,ESL Premiership Winter 2018 Finals                                   ,10722
5-1-19  ,"['ROG HOUNGOUNGAGNE', 'ROG IzakOOO']"                      ,"['16', '14']",Dust2      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10721
5-1-19  ,"['London', 'Endpoint']"                                    ,"['14', '16']",Overpass   ,ESL Premiership Winter 2018 Finals                                   ,10720
5-1-19  ,"['Endpoint', 'London']"                                    ,"['8', '16']" ,Inferno    ,ESL Premiership Winter 2018 Finals                                   ,10720
5-1-19  ,"['London', 'Endpoint']"                                    ,"['16', '7']" ,Mirage     ,ESL Premiership Winter 2018 Finals                                   ,10720
5-1-19  ,"['ROG nooky', 'ROG HenryG']"                               ,"['16', '14']",Dust2      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10719
5-1-19  ,"['ROG nooky', 'ROG HenryG']"                               ,"['9', '16']" ,Inferno    ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10719
5-1-19  ,"['ROG nooky', 'ROG HenryG']"                               ,"['20', '22']",Cache      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10719
6-1-19  ,"['ROG IzakOOO', 'ROG fl0m']"                               ,"['16', '3']" ,Train      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10718
6-1-19  ,"['ROG IzakOOO', 'ROG fl0m']"                               ,"['16', '14']",Inferno    ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10718
6-1-19  ,"['ROG HOUNGOUNGAGNE', 'ROG HenryG']"                       ,"['16', '11']",Dust2      ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10717
6-1-19  ,"['ROG HenryG', 'ROG HOUNGOUNGAGNE']"                       ,"['16', '6']" ,Inferno    ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10717
6-1-19  ,"['ROG HenryG', 'ROG HOUNGOUNGAGNE']"                       ,"['16', '13']",Mirage     ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10717
6-1-19  ,"['ROG IzakOOO', 'ROG ceh9']"                               ,"['16', '4']" ,Nuke       ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10716
6-1-19  ,"['ROG IzakOOO', 'ROG ceh9']"                               ,"['16', '5']" ,Overpass   ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10716
7-1-19  ,"['expert', 'AGO']"                                         ,"['6', '16']" ,Inferno    ,United Masters League                                                ,10715
7-1-19  ,"['AGO', 'expert']"                                         ,"['16', '13']",Train      ,United Masters League                                                ,10715
7-1-19  ,"['GUNRUNNERS', 'cats']"                                    ,"['8', '16']" ,Mirage     ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10714
7-1-19  ,"['cats', 'GUNRUNNERS']"                                    ,"['12', '16']",Inferno    ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10714
7-1-19  ,"['GUNRUNNERS', 'cats']"                                    ,"['11', '16']",Cache      ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10714
7-1-19  ,"['ROG IzakOOO', 'ROG HenryG']"                             ,"['16', '10']",Inferno    ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10713
7-1-19  ,"['ROG IzakOOO', 'ROG HenryG']"                             ,"['16', '11']",Nuke       ,ASUS ROG JTR Community Challenge Grand Finals 2019                   ,10713
7-1-19  ,"['HAVU', 'ALTERNATE aTTaX']"                               ,"['4', '16']" ,Cache      ,United Masters League                                                ,10712
7-1-19  ,"['ALTERNATE aTTaX', 'HAVU']"                               ,"['9', '16']" ,Train      ,United Masters League                                                ,10712
8-1-19  ,"['ViCi', 'Vega Squadron']"                                 ,"['16', '19']",Inferno    ,Hunt Wave League                                                     ,10711
