Date,Team1,Team2,Score,Map,Event,Series
4-1-18,"['ViCi', 'HZ', 'Freeman', 'Savage', 'advent', 'zhokiNg']","['New4', 'Drea3er', 'Jewelry', '0i', 'gas', 'xiaosaGe']","['16', '6']",Inferno,Letou Invitational,11130
4-1-18,"['New4', 'xiaosaGe', 'Jewelry', 'Drea3er', 'gas', '0i']","['Red Wolf', 'WyCloud', 'DeStRoYeR', 'Lieu', 'Searph', 'Mumu']","['1', '16']",Cache,Letou Invitational,11129
4-1-18,"['MVP PK', 'glow', 'HSK', 'zeff', 'XigN', 'solo']","['ex-T.O.T', 'Cate', 'gakki', 'Supreme', 'arteezy', 'Ar']","['12', '16']",Overpass,Letou Invitational,11128
4-1-18,"['ROG friberg', 'WolfY', 'friberg', 'GAME', 'Soak', 'hAmsi']","['ROG fl0m', 'fl0m', 'tex', 'vanity', 'ike', 'KEETcho']","['22', '20']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11127
4-1-18,"['ROG friberg', 'friberg', 'GAME', 'WolfY', 'hAmsi', 'Soak']","['ROG fl0m', 'ike', 'fl0m', 'vanity', 'tex', 'KEETcho']","['16', '4']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11127
4-1-18,"['ROG friberg', 'Soak', 'friberg', 'GAME', 'WolfY', 'hAmsi']","['ROG fl0m', 'fl0m', 'ike', 'vanity', 'tex', 'KEETcho']","['16', '14']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11127
4-1-18,"['eXtatus', 'frozen', 'MonttY', 'queztone', 'ZEDKO', 'DEV7L']","['AGO', 'Furlan', 'TOAO', 'snatchie', 'phr', 'GruBy']","['16', '14']",Mirage,ESEA MDL Season 26 Europe Finals,11126
4-1-18,"['eXtatus', 'ZEDKO', 'DEV7L', 'frozen', 'queztone', 'MonttY']","['AGO', 'Furlan', 'phr', 'GruBy', 'snatchie', 'TOAO']","['16', '11']",Train,ESEA MDL Season 26 Europe Finals,11126
4-1-18,"['ROG SkitzMACHINE', 'moojuice', 'SkitzMACHINE', 'Komodo', 'husK', 'Xtinct']","['ROG Pimp', 'Pimp', 'Nille', 'notaN', 'Nico', 'Funzie']","['5', '16']",Nuke,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11125
4-1-18,"['ROG SkitzMACHINE', 'husK', 'moojuice', 'SkitzMACHINE', 'Komodo', 'Xtinct']","['ROG Pimp', 'notaN', 'Pimp', 'Nille', 'Nico', 'Funzie']","['16', '8']",Overpass,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11125
