Date,Team1,Team2,Score,Map,Event,Series
2-1-20,"['Rocketlauncher$', 'EMENK', 'sausol', 'DeathZz', 'shhhack', 'SOKER']","['Ambush', 'raalz', 'smF', 'ckay', 'BERRY', 'doktizh']","['16', '14']",Overpass,GG.BET Winter Cup	,7129
2-1-20,"['Rocketlauncher$', 'sausol', 'SOKER', 'DeathZz', 'EMENK', 'shhhack']","['Ambush', 'doktizh', 'BERRY', 'ckay', 'raalz', 'smF']","['16', '7']",Inferno,GG.BET Winter Cup	,7129
2-1-20,"['Rocketlauncher$', 'SOKER', 'shhhack', 'sausol', 'EMENK', 'DeathZz']","['Ambush', 'smF', 'ckay', 'doktizh', 'BERRY', 'raalz']","['8', '16']",Dust2,GG.BET Winter Cup	,7129
2-1-20,"['Brute', 'AJTT', 'capseN', 'daxen', 'MAXX.', 'Crazyy']","['SKADE', 'SPELLAN', 'dennyslaw', 'Rainwaker', 'Rock1nG', 'rafftu']","['16', '10']",Inferno,GG.BET Winter Cup	,7128
2-1-20,"['Brute', 'AJTT', 'capseN', 'daxen', 'Crazyy', 'MAXX.']","['SKADE', 'Rainwaker', 'SPELLAN', 'dennyslaw', 'rafftu', 'Rock1nG']","['16', '14']",Nuke,GG.BET Winter Cup	,7128
3-1-20,"['Ambush', 'ckay', 'larsen', 'raalz', 'doktizh', 'BERRY']","['SKADE', 'dennyslaw', 'Rock1nG', 'SPELLAN', 'rafftu', 'Rainwaker']","['22', '20']",Inferno,GG.BET Winter Cup	,7127
3-1-20,"['Ambush', 'ckay', 'raalz', 'larsen', 'BERRY', 'doktizh']","['SKADE', 'SPELLAN', 'Rock1nG', 'dennyslaw', 'rafftu', 'Rainwaker']","['13', '16']",Train,GG.BET Winter Cup	,7127
3-1-20,"['Rocketlauncher$', 'DeathZz', 'EMENK', 'MackDaddy', 'SOKER', 'shhhack']","['Brute', 'MAXX.', 'AJTT', 'Crazyy', 'daxen', 'capseN']","['8', '16']",Mirage,GG.BET Winter Cup	,7126
3-1-20,"['Rocketlauncher$', 'SOKER', 'DeathZz', 'shhhack', 'MackDaddy', 'EMENK']","['Brute', 'MAXX.', 'AJTT', 'Crazyy', 'daxen', 'capseN']","['7', '16']",Inferno,GG.BET Winter Cup	,7126
3-1-20,"['Rocketlauncher$', 'MackDaddy', 'DeathZz', 'SOKER', 'shhhack', 'EMENK']","['Brute', 'MAXX.', 'Crazyy', 'AJTT', 'daxen', 'capseN']","['16', '14']",Dust2,GG.BET Winter Cup	,7126
