Winner,Team1,T1_Player1,T1_Player2,T1_Player3,T1_Player4,T1_Player5,Team2,T2_Player1,T2_Player2,T2_Player3,T2_Player4,T2_Player5,Team1_Score,Team2_Score,Map
Wolfhound,Parallax,Gratisfaction,Sico,LONSDALE,RaZ,n1ck,Wolfhound,PokeMon,Ches,stOrm,moSHniJJ,FroZ,Inferno
Fire Dragoon,ORDER,Liazz,Hatz,BURNRUOk,malta,emagine,Fire Dragoon,d4v41,aimaNNN,Click-,YooNgHwe1,acAp,Train
Wolfhound,Wolfhound,Ches,stOrm,PokeMon,moSHniJJ,FroZ,New4,0i,xiaosaGe,gas,Jewelry,Drea3er,Cache
Wolfhound,Wolfhound,stOrm,moSHniJJ,Ches,PokeMon,FroZ,Control,void,1ukey,Bryaz,minnii,Frasbr,Inferno
Powar Rangirls,Asterisk fe,Alel,sabribri,brotato,Aurelle,Kyuubi,Powar Rangirls,Neko,Pyngkuchan,Juniverse,LinhTibber,Luberry,Cache
Asterisk fe,Asterisk fe,sabribri,Alel,brotato,Aurelle,Kyuubi,Powar Rangirls,Neko,Pyngkuchan,LinhTibber,Juniverse,Luberry,Cobblestone
Asterisk fe,Asterisk fe,sabribri,Alel,Aurelle,Kyuubi,brotato,Powar Rangirls,Luberry,LinhTibber,Neko,Pyngkuchan,Juniverse,Mirage
No IdeA,LeetPro fe,ShazZ,NatzZii,Scorpie,Angelwingz,Psymone,No IdeA,43tw,KumbyMM,Day2,Chi,Bluesummer,Inferno
No IdeA,LeetPro fe,Psymone,Angelwingz,Scorpie,ShazZ,NatzZii,No IdeA,Day2,Bluesummer,KumbyMM,43tw,Chi,Cache
AnticlockwiSe,AnticlockwiSe,ice,Miknna,MsDi4mond,Rika2k,JennyzAAz,K23 fe,insomnia,charlie,Nira,mitsumia,Plasi,Mirage
AnticlockwiSe,AnticlockwiSe,MsDi4mond,Rika2k,ice,Miknna,JennyzAAz,K23 fe,Nira,mitsumia,insomnia,charlie,Plasi,Inferno
MVP PK,MVP PK,zeff,HSK,XigN,solo,glow,ORDER,malta,Hatz,BURNRUOk,Liazz,emagine,Mirage
Tricked,Tricked,Ryxxo,Console,Inzta,snedker,Lukki,aAa,MetaL,nonick,ZywOo,waneG,wallax,Overpass
Tricked,Tricked,Ryxxo,Console,Lukki,snedker,Inzta,aAa,ZywOo,MetaL,wallax,waneG,nonick,Train
No IdeA,No IdeA,Day2,KumbyMM,Bluesummer,Chi,43tw,Etab,Pororo,M,Xeniaww,kitty,mdzz,Overpass
Etab,No IdeA,Bluesummer,Day2,Chi,KumbyMM,43tw,Etab,kitty,Pororo,Xeniaww,mdzz,M,Cache
EMC,Recca,Eeyore,roseau,FrostMisty,xccurate,Sys,EMC,fagger,chancehangtsz,hypathor,TENGU9,CHIMEI,Mirage
K23 fe,Asterisk fe,Alel,Aurelle,brotato,sabribri,Kyuubi,K23 fe,insomnia,mitsumia,Nira,Plasi,charlie,Overpass
Asterisk fe,Asterisk fe,Aurelle,Alel,sabribri,brotato,Kyuubi,K23 fe,insomnia,Nira,charlie,Plasi,mitsumia,Cache
MAX,EMC,hypathor,fagger,chancehangtsz,TENGU9,CHIMEI,MAX,Gn,Lamplight,dmm,ECOKING,s550,Inferno
K23 fe,No IdeA,Chi,43tw,Bluesummer,KumbyMM,Day2,K23 fe,Nira,mitsumia,charlie,insomnia,Plasi,Inferno
No IdeA,No IdeA,Day2,Bluesummer,Chi,KumbyMM,43tw,K23 fe,Nira,insomnia,Plasi,mitsumia,charlie,Mirage
K23 fe,No IdeA,KumbyMM,Day2,Chi,Bluesummer,43tw,K23 fe,Nira,charlie,Plasi,insomnia,mitsumia,Overpass
Mineski,Mineski,dispenser,FRiGHT,GII,Hannibal,DubsteP,EMC,hypathor,chancehangtsz,TENGU9,fagger,CHIMEI,Mirage
UTM,EMC,fagger,CHIMEI,hypathor,TENGU9,chancehangtsz,UTM,beo,Nort,Naokai,kotk,guille,Inferno
Vega Squadron,Vega Squadron,mir,jR,hutji,keshandr,chopper,Renegades,AZR,Nifty,USTILO,NAF,jks,Mirage
AVANGAR,MOUZ,chrisJ,oskar,ropz,STYKO,suNny,AVANGAR,Qikert,buster,Jame,dimasick,KrizzeN,Mirage
Liquid,FaZe,rain,GuardiaN,olofmeister,NiKo,karrigan,Liquid,nitr0,Twistzz,EliGE,jdm64,zews,Overpass
Sprout,Sprout,denis,innocent,zehN,Spiidi,kRYSTAL,Space Soldiers,XANTARES,ngiN,paz,MAJ3R,Calyx,Cobblestone
Natus Vincere,Natus Vincere,s1mple,flamie,electronic,Zeus,Edward,Quantum Bellator Fire,jmqa,waterfaLLZ,Kvik,Boombl4,balblna,Inferno
G2,G2,shox,NBK-,bodyy,kennyS,apEX,Flash,Kaze,Attacker,LOVEYY,Karsa,Summer,Inferno
NSPR,NSPR,SeveN89,MAIROLLS,Olivia,Kntz,veta,EMC,TENGU9,fagger,chancehangtsz,CHIMEI,hypathor,Train
EMC,NSPR,Olivia,MAIROLLS,Kntz,veta,SeveN89,EMC,fagger,TENGU9,chancehangtsz,hypathor,CHIMEI,Mirage
ORDER,ORDER,Liazz,BURNRUOk,Hatz,emagine,malta,LEOPARD,x1ron,mRmN,Poor it up,RaSHNeSS,FaRsh1d,Inferno
ORDER,ORDER,Liazz,emagine,malta,Hatz,BURNRUOk,LEOPARD,x1ron,FaRsh1d,mRmN,Poor it up,RaSHNeSS,Cache
MAX,MAX,dmm,Lamplight,ECOKING,Gn,s550,ORDER,Liazz,BURNRUOk,Hatz,malta,emagine,Train
ORDER,MAX,Gn,dmm,ECOKING,s550,Lamplight,ORDER,Hatz,Liazz,malta,emagine,BURNRUOk,Cache
MAX,MAX,Gn,s550,ECOKING,dmm,Lamplight,ORDER,Liazz,malta,BURNRUOk,Hatz,emagine,Inferno
LEOPARD,EMC,fagger,hypathor,CHIMEI,chancehangtsz,TENGU9,LEOPARD,x1ron,RaSHNeSS,mRmN,FaRsh1d,Poor it up,Mirage
EMC,EMC,fagger,TENGU9,hypathor,chancehangtsz,CHIMEI,LEOPARD,RaSHNeSS,mRmN,Poor it up,FaRsh1d,x1ron,Cache
EMC,EMC,TENGU9,hypathor,CHIMEI,fagger,chancehangtsz,LEOPARD,x1ron,Poor it up,FaRsh1d,RaSHNeSS,mRmN,Cobblestone
NSPR,NSPR,veta,SeveN89,Olivia,Kntz,MAIROLLS,ORDER,malta,emagine,Hatz,BURNRUOk,Liazz,Mirage
NSPR,NSPR,SeveN89,veta,Olivia,Kntz,MAIROLLS,ORDER,Liazz,Hatz,malta,emagine,BURNRUOk,Train
FlipSid3,FlipSid3,WorldEdit,markeloff,B1ad3,wayLander,seized,Liquid,Twistzz,EliGE,jdm64,nitr0,zews,Cobblestone
ALPENKINGZ,ALPENKINGZ,ReacTioNNN,chrissK,Nino,Shipta,MITSARAS,Bet at Home,linux.at,rqn,burnie,schoko,RaketenRudi,Train
Bet at Home,ALPENKINGZ,ReacTioNNN,Shipta,MITSARAS,Nino,chrissK,Bet at Home,linux.at,burnie,rqn,RaketenRudi,schoko,Inferno
Natus Vincere,MOUZ,chrisJ,oskar,ropz,suNny,STYKO,Natus Vincere,s1mple,electronic,flamie,Edward,Zeus,Mirage
Bet at Home,Young Daddy Gang,wndrr,oFeNmEiSTeR,MnKr,onliner,mat,Bet at Home,RaketenRudi,rqn,linux.at,burnie,schoko,Train
Young Daddy Gang,Young Daddy Gang,wndrr,MnKr,onliner,mat,oFeNmEiSTeR,Bet at Home,linux.at,schoko,burnie,rqn,RaketenRudi,Inferno
Young Daddy Gang,Young Daddy Gang,mat,oFeNmEiSTeR,MnKr,onliner,wndrr,Bet at Home,rqn,burnie,linux.at,RaketenRudi,schoko,Mirage
Envy,Envy,RpK,xms,SIXER,ScreaM,Happy,Renegades,NAF,Nifty,jks,USTILO,AZR,Cache
Tricked,Ambush,KaDaZ,LATINOBOMBEN,quiNz,s0mmer,sjuush,Tricked,Inzta,snedker,Lukki,Ryxxo,Console,Overpass
GoldenGitte,GoldenGitte,TeSeS,KS,larsen,haste,Basso,Tricked,Ryxxo,Lukki,Console,snedker,Inzta,Overpass
Cloud9,Sprout,Spiidi,innocent,zehN,kRYSTAL,denis,Cloud9,Stewie2K,tarik,autimatic,RUSH,Skadoodle,Inferno
Vega Squadron,FaZe,rain,NiKo,GuardiaN,olofmeister,karrigan,Vega Squadron,chopper,jR,mir,keshandr,hutji,Inferno
Tricked,MANS NOT HOT,TENZKI,nexa,kalinka,EspiranTo,AcilioN,Tricked,Inzta,Ryxxo,Lukki,snedker,Console,Cobblestone
Tricked,MANS NOT HOT,AcilioN,TENZKI,nexa,kalinka,EspiranTo,Tricked,snedker,Console,Lukki,Inzta,Ryxxo,Train
G2,Misfits,devoduvek,SicK,ShahZaM,seang@res,AmaNEk,G2,shox,kennyS,bodyy,NBK-,apEX,Cobblestone
MVP PK,ORDER,Liazz,BURNRUOk,Hatz,emagine,malta,MVP PK,XigN,HSK,solo,glow,zeff,Train
ORDER,ORDER,Liazz,Hatz,malta,emagine,BURNRUOk,MVP PK,XigN,HSK,solo,zeff,glow,Nuke
plan-B,Bet at Home,linux.at,burnie,rqn,schoko,RaketenRudi,plan-B,Schabi,Lenki007,major,MUKKE,TBA,Overpass
plan-B,Bet at Home,linux.at,burnie,rqn,schoko,RaketenRudi,plan-B,major,MUKKE,Lenki007,TBA,Schabi,Train
Bet at Home,Bet at Home,linux.at,rqn,burnie,schoko,RaketenRudi,plan-B,Lenki007,TBA,MUKKE,major,Schabi,Cobblestone
ALPENKINGZ,ALPENKINGZ,Shipta,MITSARAS,Nino,chrissK,ReacTioNNN,Bet at Home,rqn,linux.at,RaketenRudi,burnie,schoko,Cobblestone
Bet at Home,ALPENKINGZ,Shipta,Nino,ReacTioNNN,MITSARAS,chrissK,Bet at Home,burnie,RaketenRudi,linux.at,rqn,schoko,Mirage
FaZe,Quantum Bellator Fire,Boombl4,Kvik,balblna,jmqa,waterfaLLZ,FaZe,NiKo,rain,GuardiaN,karrigan,olofmeister,Mirage
Natus Vincere,Sprout,Spiidi,innocent,kRYSTAL,denis,zehN,Natus Vincere,electronic,flamie,s1mple,Edward,Zeus,Mirage
Vega Squadron,Vega Squadron,chopper,jR,mir,hutji,keshandr,G2,shox,NBK-,kennyS,apEX,bodyy,Overpass
Renegades,Renegades,NAF,jks,Nifty,AZR,USTILO,Liquid,nitr0,Twistzz,zews,EliGE,jdm64,Cobblestone
Cloud9,MOUZ,ropz,suNny,chrisJ,oskar,STYKO,Cloud9,autimatic,tarik,Stewie2K,Skadoodle,RUSH,Train
