Date,Teams,Score,Map,Event,Series
7-1-18,"['Legacy', 'Athletico']","['16', '19']",Cache,IEM Katowice 2018 Oceania Open Qualifier #1,11097
7-1-18,"['Legacy', 'Athletico']","['12', '16']",Inferno,IEM Katowice 2018 Oceania Open Qualifier #1,11097
7-1-18,"['MVP PK', 'XCN']","['16', '2']",Nuke,IEM Katowice 2018 Asia Open Qualifier #1,11096
7-1-18,"['Ardeont', 'Lucid Dream']","['16', '12']",Overpass,IEM Katowice 2018 Asia Open Qualifier #1,11095
7-1-18,"['AGO', 'Space Soldiers']","['22', '18']",Mirage,ESEA Season 26 MDL Global Challenge,11094
7-1-18,"['Space Soldiers', 'AGO']","['12', '16']",Train,ESEA Season 26 MDL Global Challenge,11094
7-1-18,"['Blackwoodproductions', 'Swole Patrol']","['12', '16']",Mirage,Legend Series North America Finals,11093
7-1-18,"['Swole Patrol', 'Blackwoodproductions']","['16', '3']",Inferno,Legend Series North America Finals,11093
7-1-18,"['Etherian', 'RONIN']","['16', '6']",Inferno,Legend Series North America Finals,11092
7-1-18,"['RONIN', 'Etherian']","['6', '16']",Overpass,Legend Series North America Finals,11092
7-1-18,"['Space Soldiers', 'Natus Vincere']","['10', '16']",Inferno,ESL Pro League Season 6 Europe Relegation,11091
7-1-18,"['Natus Vincere', 'Space Soldiers']","['14', '16']",Mirage,ESL Pro League Season 6 Europe Relegation,11091
7-1-18,"['Natus Vincere', 'Space Soldiers']","['16', '8']",Train,ESL Pro League Season 6 Europe Relegation,11091
7-1-18,"['ROG friberg', 'ROG IzakOOO']","['13', '16']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11090
7-1-18,"['ROG friberg', 'ROG IzakOOO']","['19', '16']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11090
7-1-18,"['ROG IzakOOO', 'ROG friberg']","['5', '16']",Cache,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11090
7-1-18,"['Blackwoodproductions', 'RONIN']","['22', '18']",Mirage,Legend Series North America Finals,11089
7-1-18,"['Swole Patrol', 'Etherian']","['16', '6']",Mirage,Legend Series North America Finals,11088
7-1-18,"['Swole Patrol', 'Etherian']","['16', '9']",Train,Legend Series North America Finals,11088
8-1-18,"['Ghost', 'Rise Nation']","['16', '13']",Nuke,ESL Pro League Season 6 North America Relegation,11087
8-1-18,"['Rise Nation', 'Ghost']","['16', '14']",Train,ESL Pro League Season 6 North America Relegation,11087
8-1-18,"['Rise Nation', 'Ghost']","['6', '16']",Mirage,ESL Pro League Season 6 North America Relegation,11087
8-1-18,"['Etherian', 'Blackwoodproductions']","['16', '7']",Cache,Legend Series North America Finals,11086
8-1-18,"['Rogue', 'GX']","['16', '6']",Inferno,ESL Pro League Season 6 North America Relegation,11085
8-1-18,"['GX', 'Rogue']","['9', '16']",Mirage,ESL Pro League Season 6 North America Relegation,11085
8-1-18,"['Swole Patrol', 'Etherian']","['8', '16']",Overpass,Legend Series North America Finals,11084
8-1-18,"['Swole Patrol', 'Etherian']","['16', '6']",Inferno,Legend Series North America Finals,11084
8-1-18,"['Swole Patrol', 'Etherian']","['11', '16']",Mirage,Legend Series North America Finals,11084
8-1-18,"['Swole Patrol', 'Etherian']","['16', '14']",Train,Legend Series North America Finals,11084
8-1-18,"['Ardeont', 'MVP PK']","['2', '16']",Inferno,IEM Katowice 2018 Asia Open Qualifier #1,11083
8-1-18,"['Ardeont', 'MVP PK']","['12', '16']",Nuke,IEM Katowice 2018 Asia Open Qualifier #1,11083
8-1-18,"['ViCi', 'Red Wolf']","['16', '2']",Inferno,Daddyskins Asia Super League,11082
8-1-18,"['ViCi', 'Red Wolf']","['10', '16']",Mirage,Daddyskins Asia Super League,11082
8-1-18,"['ViCi', 'Red Wolf']","['19', '16']",Train,Daddyskins Asia Super League,11082
8-1-18,"['MVP PK', 'ViCi']","['16', '10']",Inferno,Daddyskins Asia Super League,11081
8-1-18,"['MVP PK', 'ViCi']","['16', '11']",Mirage,Daddyskins Asia Super League,11081
8-1-18,"['Rise Nation', 'GX']","['16', '14']",Inferno,ESL Pro League Season 6 North America Relegation,11080
8-1-18,"['GX', 'Rise Nation']","['10', '16']",Mirage,ESL Pro League Season 6 North America Relegation,11080
8-1-18,"['LANg0ds', 'ALTERNATE aTTaX']","['11', '16']",Overpass,DaddySkins Western League,11079
8-1-18,"['ALTERNATE aTTaX', 'LANg0ds']","['16', '7']",Inferno,DaddySkins Western League,11078
8-1-18,"['Rogue', 'Ghost']","['11', '16']",Cobblestone,ESL Pro League Season 6 North America Relegation,11077
8-1-18,"['Ghost', 'Rogue']","['16', '7']",Overpass,ESL Pro League Season 6 North America Relegation,11077
8-1-18,"['Rogue', 'Rise Nation']","['19', '17']",Inferno,ESL Pro League Season 6 North America Relegation,11076
8-1-18,"['Rise Nation', 'Rogue']","['12', '16']",Mirage,ESL Pro League Season 6 North America Relegation,11076
9-1-18,"['Red Reserve', 'Tricked']","['16', '4']",Cobblestone,DaddySkins Western League,11075
9-1-18,"['Red Reserve', 'Tricked']","['16', '13']",Overpass,DaddySkins Western League,11075
9-1-18,"['ALTERNATE aTTaX', 'North Academy']","['11', '16']",Train,DaddySkins Western League,11074
9-1-18,"['North Academy', 'ALTERNATE aTTaX']","['2', '16']",Inferno,DaddySkins Western League,11074
9-1-18,"['ALTERNATE aTTaX', 'North Academy']","['9', '16']",Overpass,DaddySkins Western League,11074
10-1-18,"['Reason', 'Movistar Riders']","['19', '17']",Train,DaddySkins Western League,11073
10-1-18,"['Movistar Riders', 'Reason']","['19', '16']",Overpass,DaddySkins Western League,11073
10-1-18,"['Reason', 'Movistar Riders']","['16', '7']",Cache,DaddySkins Western League,11073
10-1-18,"['Singularity', 'aAa']","['6', '16']",Inferno,DaddySkins Western League,11072
10-1-18,"['aAa', 'Singularity']","['19', '16']",Train,DaddySkins Western League,11072
11-1-18,"['Fire Dragoon', 'MVP PK']","['7', '16']",Train,WESG 2017 Asia-Pacific Regional Finals,11071
11-1-18,"['New4', 'Control']","['16', '11']",Cache,WESG 2017 Asia-Pacific Regional Finals,11070
11-1-18,"['Wolfhound', 'LEOPARD']","['1', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11069
11-1-18,"['ORDER', 'Portal']","['25', '21']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11068
11-1-18,"['New4', 'LEOPARD']","['16', '2']",Train,WESG 2017 Asia-Pacific Regional Finals,11067
