Date,Team1,Team2,Score,Map,Event,Series
8-1-21,"['Apologis', 'SBT', 'SoneSb', 'DrqkoN', 'Gringo', 'wasiNk']","['UBITEAM', 'Nono2K', 'Ninis', 'red1many', 'Malikof', 'Spn']","['13', '16']",Dust2,NumberOne Season 1 Finals,7914
8-1-21,"['TheDice', 'Polox', 'afro', 'Djoko', 'XpG', 'nonick']","['Clutch Rayn', 'HippoV', 'SkyOnly', 'Diviiii', 'MetaL', 'Razn']","['3', '16']",Nuke,NumberOne Season 1 Finals,7913
8-1-21,"['MAESTRO', 'Stev0se', 'ritchiEE', 'Sterzig', 'matty', 'simix']","['LowLandLions', 'blackie', 'Bernard', 'eneshan', 'shield', 'Bowen']","['16', '10']",Vertigo,NumberOne Season 1 Finals,7912
8-1-21,"['Game Fist', 'ALEXJ', 'Masti', 'v1d', 'devraNN', 'Lenny']","['Exalty', 'EMZ', 'Hawk', 'Kursy', 'Zeinyh', 'YouKnow']","['14', '16']",Inferno,NumberOne Season 1 Finals,7911
8-1-21,"['Apologis', 'wasiNk', 'Gringo', 'SoneSb', 'SBT', 'DrqkoN']","['LowLandLions', 'shield', 'Bernard', 'eneshan', 'Bowen', 'blackie']","['16', '9']",Mirage,NumberOne Season 1 Finals,7910
8-1-21,"['ForGlory', 'x1ron', 'RaSHNeSS', 'mRmN', 'Dant1k', 'Myth']","['Immortals', 'N1ghtmark', 'Dvp', 'Erfixj', 'AAA', 'RobbeR']","['7', '16']",Dust2,Blackrocks 2020,7909
8-1-21,"['ForGlory', 'x1ron', 'RaSHNeSS', 'Dant1k', 'mRmN', 'Myth']","['Immortals', 'AAA', 'N1ghtmark', 'Erfixj', 'RobbeR', 'Dvp']","['12', '16']",Inferno,Blackrocks 2020,7909
8-1-21,"['TheDice', 'afro', 'Djoko', 'XpG', 'Polox', 'nonick']","['Game Fist', 'ALEXJ', 'devraNN', 'Lenny', 'v1d', 'Masti']","['5', '16']",Nuke,NumberOne Season 1 Finals,7908
9-1-21,"['UBITEAM', 'red1many', 'Ninis', 'Nono2K', 'Spn', 'Malikof']","['MAESTRO', 'ritchiEE', 'simix', 'Sterzig', 'Stev0se', 'matty']","['4', '16']",Mirage,NumberOne Season 1 Finals,7907
9-1-21,"['UBITEAM', 'Ninis', 'Malikof', 'red1many', 'Spn', 'Nono2K']","['MAESTRO', 'ritchiEE', 'Stev0se', 'matty', 'Sterzig', 'simix']","['18', '22']",Inferno,NumberOne Season 1 Finals,7907
9-1-21,"['Clutch Rayn', 'Diviiii', 'Razn', 'SkyOnly', 'HippoV', 'MetaL']","['Exalty', 'EMZ', 'Kursy', 'Hawk', 'YouKnow', 'Zeinyh']","['16', '7']",Mirage,NumberOne Season 1 Finals,7906
9-1-21,"['Clutch Rayn', 'SkyOnly', 'HippoV', 'Razn', 'MetaL', 'Diviiii']","['Exalty', 'EMZ', 'Zeinyh', 'Kursy', 'Hawk', 'YouKnow']","['12', '16']",Vertigo,NumberOne Season 1 Finals,7906
9-1-21,"['Apologis', 'Gringo', 'DrqkoN', 'SoneSb', 'wasiNk', 'SBT']","['MAESTRO', 'matty', 'ritchiEE', 'Sterzig', 'Stev0se', 'simix']","['16', '5']",Dust2,NumberOne Season 1 Finals,7905
9-1-21,"['Apologis', 'SoneSb', 'Gringo', 'DrqkoN', 'SBT', 'wasiNk']","['MAESTRO', 'ritchiEE', 'Sterzig', 'matty', 'Stev0se', 'simix']","['16', '7']",Vertigo,NumberOne Season 1 Finals,7905
9-1-21,"['Game Fist', 'Lenny', 'v1d', 'devraNN', 'Masti', 'ALEXJ']","['Clutch Rayn', 'Diviiii', 'Razn', 'SkyOnly', 'MetaL', 'HippoV']","['8', '16']",Nuke,NumberOne Season 1 Finals,7904
9-1-21,"['Game Fist', 'devraNN', 'Lenny', 'Masti', 'ALEXJ', 'v1d']","['Clutch Rayn', 'SkyOnly', 'Razn', 'MetaL', 'Diviiii', 'HippoV']","['16', '10']",Dust2,NumberOne Season 1 Finals,7904
10-1-21,"['Beyond', 'Kntz', 'stk', 'qqGOD', 'Olivia', 'MAIROLLS']","['Paper Rex', 'Benkai', 'f0rsakeN', 'd4v41', 'mindfreak', 'Tommy']","['16', '10']",Nuke,eXTREMESLAND 2020 Southeast Asia,7903
10-1-21,"['Beyond', 'Kntz', 'MAIROLLS', 'Olivia', 'stk', 'qqGOD']","['Paper Rex', 'd4v41', 'f0rsakeN', 'Benkai', 'Tommy', 'mindfreak']","['14', '16']",Inferno,eXTREMESLAND 2020 Southeast Asia,7903
10-1-21,"['Beyond', 'Kntz', 'MAIROLLS', 'qqGOD', 'Olivia', 'stk']","['Paper Rex', 'Benkai', 'f0rsakeN', 'd4v41', 'mindfreak', 'Tommy']","['16', '10']",Train,eXTREMESLAND 2020 Southeast Asia,7903
10-1-21,"['ZIGMA', 'PPOverdose', 'RoLEX', 'Niffy', 'Reality', 'JUSTCAUSE']","['Bren', 'witz', 'micr0', 'Derek', 'Papichulo', 'Pro.']","['9', '16']",Mirage,eXTREMESLAND 2020 Southeast Asia,7902
10-1-21,"['ZIGMA', 'PPOverdose', 'Reality', 'JUSTCAUSE', 'RoLEX', 'Niffy']","['Bren', 'Pro.', 'witz', 'Papichulo', 'Derek', 'micr0']","['16', '7']",Inferno,eXTREMESLAND 2020 Southeast Asia,7902
10-1-21,"['Paper Rex', 'f0rsakeN', 'Benkai', 'Tommy', 'mindfreak', 'd4v41']","['ZIGMA', 'Reality', 'PPOverdose', 'JUSTCAUSE', 'RoLEX', 'Niffy']","['16', '14']",Mirage,eXTREMESLAND 2020 Southeast Asia,7901
10-1-21,"['Paper Rex', 'd4v41', 'f0rsakeN', 'Benkai', 'mindfreak', 'Tommy']","['ZIGMA', 'JUSTCAUSE', 'RoLEX', 'Niffy', 'PPOverdose', 'Reality']","['11', '16']",Vertigo,eXTREMESLAND 2020 Southeast Asia,7901
10-1-21,"['Paper Rex', 'mindfreak', 'Tommy', 'd4v41', 'Benkai', 'f0rsakeN']","['ZIGMA', 'Reality', 'PPOverdose', 'RoLEX', 'JUSTCAUSE', 'Niffy']","['16', '10']",Train,eXTREMESLAND 2020 Southeast Asia,7901
10-1-21,"['LowLandLions', 'blackie', 'shield', 'Bowen', 'eneshan', 'Bernard']","['Clutch Rayn', 'Diviiii', 'SkyOnly', 'MetaL', 'Razn', 'HippoV']","['16', '7']",Vertigo,NumberOne Season 1 Finals,7900
10-1-21,"['LowLandLions', 'shield', 'eneshan', 'Bowen', 'blackie', 'Bernard']","['Clutch Rayn', 'Diviiii', 'Razn', 'MetaL', 'SkyOnly', 'HippoV']","['16', '11']",Inferno,NumberOne Season 1 Finals,7900
10-1-21,"['TheDice', 'XpG', 'afro', 'Djoko', 'nonick', 'Polox']","['Apologis', 'Gringo', 'SBT', 'wasiNk', 'SoneSb', 'DrqkoN']","['16', '13']",Dust2,NumberOne Season 1 Finals,7899
10-1-21,"['TheDice', 'Djoko', 'afro', 'XpG', 'Polox', 'nonick']","['Apologis', 'SBT', 'Gringo', 'wasiNk', 'DrqkoN', 'SoneSb']","['10', '16']",Vertigo,NumberOne Season 1 Finals,7899
10-1-21,"['TheDice', 'nonick', 'Polox', 'Djoko', 'XpG', 'afro']","['Apologis', 'DrqkoN', 'Gringo', 'SoneSb', 'wasiNk', 'SBT']","['13', '16']",Inferno,NumberOne Season 1 Finals,7899
10-1-21,"['pARAMICE', 'narelya', 'Maboyy', 'yahiko', 'ToreQ', 'mori']","['Red Instinct', 'Jas_x', 'Ex3rcice', 'DexxM', 'Alx', 'xReal']","['16', '12']",Overpass,Swiss Esports League Fall 2020,7898
10-1-21,"['pARAMICE', 'Maboyy', 'narelya', 'ToreQ', 'mori', 'yahiko']","['Red Instinct', 'xReal', 'Ex3rcice', 'Jas_x', 'DexxM', 'Alx']","['7', '16']",Inferno,Swiss Esports League Fall 2020,7898
