Date,Teams,Score,Map,Event,Series
2-1-20,"['Rocketlauncher$', 'Ambush']","['16', '14']",Overpass,GG.BET Winter Cup	,26591
2-1-20,"['Ambush', 'Rocketlauncher$']","['16', '7']",Inferno,GG.BET Winter Cup	,26591
2-1-20,"['Rocketlauncher$', 'Ambush']","['8', '16']",Dust2,GG.BET Winter Cup	,26591
2-1-20,"['SKADE', 'Brute']","['16', '10']",Inferno,GG.BET Winter Cup	,26590
2-1-20,"['SKADE', 'Brute']","['16', '14']",Nuke,GG.BET Winter Cup	,26590
3-1-20,"['SKADE', 'Ambush']","['22', '20']",Inferno,GG.BET Winter Cup	,26589
3-1-20,"['Ambush', 'SKADE']","['13', '16']",Train,GG.BET Winter Cup	,26589
3-1-20,"['Brute', 'Rocketlauncher$']","['8', '16']",Mirage,GG.BET Winter Cup	,26588
3-1-20,"['Rocketlauncher$', 'Brute']","['7', '16']",Inferno,GG.BET Winter Cup	,26588
3-1-20,"['Brute', 'Rocketlauncher$']","['16', '14']",Dust2,GG.BET Winter Cup	,26588
3-1-20,"['Brute', 'Ambush']","['16', '13']",Dust2,GG.BET Winter Cup	,26587
3-1-20,"['Ambush', 'Brute']","['16', '12']",Inferno,GG.BET Winter Cup	,26587
3-1-20,"['Brute', 'Ambush']","['16', '9']",Mirage,GG.BET Winter Cup	,26587
4-1-20,"['SKADE', 'FATE']","['13', '16']",Inferno,GG.BET Winter Cup	,26586
4-1-20,"['FATE', 'SKADE']","['12', '16']",Overpass,GG.BET Winter Cup	,26586
4-1-20,"['SKADE', 'FATE']","['16', '11']",Train,GG.BET Winter Cup	,26586
4-1-20,"['Brute', 'Phoenix']","['10', '16']",Dust2,GG.BET Winter Cup	,26585
4-1-20,"['Phoenix', 'Brute']","['16', '8']",Mirage,GG.BET Winter Cup	,26585
4-1-20,"['SKADE', 'Heroic']","['13', '16']",Inferno,GG.BET Winter Cup	,26584
4-1-20,"['Heroic', 'SKADE']","['16', '7']",Nuke,GG.BET Winter Cup	,26584
4-1-20,"['Big Frames', 'Rugratz']","['4', '16']",Nuke,Mythic Cup 5,26583
4-1-20,"['Rugratz', 'Big Frames']","['16', '7']",Mirage,Mythic Cup 5,26583
4-1-20,"['eUnited', 'RBG']","['16', '3']",Overpass,Mythic Cup 5,26582
4-1-20,"['RBG', 'eUnited']","['4', '16']",Train,Mythic Cup 5,26582
4-1-20,"['Divine', 'OCG']","['16', '9']",Dust2,Mythic Cup 5,26581
4-1-20,"['OCG', 'Divine']","['8', '16']",Train,Mythic Cup 5,26581
4-1-20,"['New England Whalers', 'Just For Fun']","['12', '16']",Inferno,Mythic Cup 5,26580
4-1-20,"['New England Whalers', 'Just For Fun']","['5', '16']",Mirage,Mythic Cup 5,26580
4-1-20,"['ex-iNTACT', 'Monstars']","['14', '16']",Mirage,Mythic Cup 5,26579
4-1-20,"['Monstars', 'ex-iNTACT']","['16', '10']",Inferno,Mythic Cup 5,26579
4-1-20,"['Singularity', 'Infinity']","['16', '3']",Overpass,Mythic Cup 5,26578
4-1-20,"['Infinity', 'Singularity']","['12', '16']",Mirage,Mythic Cup 5,26578
4-1-20,"['LiViD', 'Recon 5']","['13', '16']",Mirage,Mythic Cup 5,26577
4-1-20,"['Recon 5', 'LiViD']","['11', '16']",Nuke,Mythic Cup 5,26577
4-1-20,"['LiViD', 'Recon 5']","['16', '7']",Inferno,Mythic Cup 5,26577
4-1-20,"['Rap Gang', 'Bushido Boyz']","['14', '16']",Inferno,Mythic Cup 5,26576
4-1-20,"['Rap Gang', 'Bushido Boyz']","['16', '4']",Mirage,Mythic Cup 5,26576
4-1-20,"['Rap Gang', 'Bushido Boyz']","['16', '13']",Overpass,Mythic Cup 5,26576
5-1-20,"['Rugratz', 'Monstars']","['16', '3']",Mirage,Mythic Cup 5,26575
5-1-20,"['Monstars', 'Rugratz']","['9', '16']",Nuke,Mythic Cup 5,26575
5-1-20,"['Just For Fun', 'Divine']","['10', '16']",Inferno,Mythic Cup 5,26574
5-1-20,"['Just For Fun', 'Divine']","['16', '8']",Overpass,Mythic Cup 5,26574
5-1-20,"['Divine', 'Just For Fun']","['9', '16']",Mirage,Mythic Cup 5,26574
5-1-20,"['Singularity', 'LiViD']","['19', '16']",Train,Mythic Cup 5,26573
5-1-20,"['Singularity', 'LiViD']","['19', '15']",Nuke,Mythic Cup 5,26573
5-1-20,"['eUnited', 'Rap Gang']","['16', '12']",Overpass,Mythic Cup 5,26572
5-1-20,"['eUnited', 'Rap Gang']","['22', '20']",Mirage,Mythic Cup 5,26572
5-1-20,"['Phoenix', 'Gambit Youngsters']","['16', '11']",Overpass,GG.BET Winter Cup	,26571
5-1-20,"['Gambit Youngsters', 'Phoenix']","['10', '16']",Mirage,GG.BET Winter Cup	,26571
5-1-20,"['Phoenix', 'Heroic']","['8', '16']",Vertigo,GG.BET Winter Cup	,26570
5-1-20,"['Heroic', 'Phoenix']","['16', '5']",Mirage,GG.BET Winter Cup	,26570
5-1-20,"['Heroic', 'Phoenix']","['16', '10']",Overpass,GG.BET Winter Cup	,26570
5-1-20,"['Singularity', 'Rugratz']","['16', '14']",Overpass,Mythic Cup 5,26569
5-1-20,"['Rugratz', 'Singularity']","['19', '16']",Nuke,Mythic Cup 5,26569
5-1-20,"['Rugratz', 'Singularity']","['16', '12']",Mirage,Mythic Cup 5,26569
5-1-20,"['Just For Fun', 'eUnited']","['11', '16']",Nuke,Mythic Cup 5,26568
5-1-20,"['eUnited', 'Just For Fun']","['10', '16']",Mirage,Mythic Cup 5,26568
5-1-20,"['Just For Fun', 'eUnited']","['16', '9']",Dust2,Mythic Cup 5,26568
6-1-20,"['Rugratz', 'Just For Fun']","['5', '16']",Mirage,Mythic Cup 5,26567
6-1-20,"['Rugratz', 'Just For Fun']","['16', '19']",Train,Mythic Cup 5,26567
7-1-20,"['ViCi', 'Alpha Red']","['16', '3']",Overpass,IEM Katowice 2020 Asia Closed Qualifier,26566
7-1-20,"['TYLOO', 'Mazaalai']","['16', '9']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,26565
7-1-20,"['Bren', 'R-Stars']","['19', '15']",Train,IEM Katowice 2020 Asia Closed Qualifier,26564
7-1-20,"['Alpha Red', 'ViCi']","['10', '16']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,26563
7-1-20,"['R-Stars', 'Bren']","['16', '7']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26562
7-1-20,"['Bren', 'R-Stars']","['16', '10']",Dust2,IEM Katowice 2020 Asia Closed Qualifier,26562
7-1-20,"['TYLOO', 'Mazaalai']","['10', '16']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26561
7-1-20,"['TYLOO', 'Mazaalai']","['16', '7']",Overpass,IEM Katowice 2020 Asia Closed Qualifier,26561
7-1-20,"['AUGUST', 'OneThree']","['16', '11']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26560
7-1-20,"['OneThree', 'AUGUST']","['16', '8']",Nuke,IEM Katowice 2020 Asia Closed Qualifier,26560
7-1-20,"['OneThree', 'AUGUST']","['8', '16']",Dust2,IEM Katowice 2020 Asia Closed Qualifier,26560
7-1-20,"['Alpha Red', 'OneThree']","['10', '16']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,26559
7-1-20,"['OneThree', 'Alpha Red']","['13', '16']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26559
7-1-20,"['Alpha Red', 'OneThree']","['14', '16']",Dust2,IEM Katowice 2020 Asia Closed Qualifier,26559
7-1-20,"['AUGUST', 'ViCi']","['16', '19']",Nuke,IEM Katowice 2020 Asia Closed Qualifier,26558
7-1-20,"['ViCi', 'AUGUST']","['9', '16']",Train,IEM Katowice 2020 Asia Closed Qualifier,26558
7-1-20,"['AUGUST', 'ViCi']","['10', '16']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26558
7-1-20,"['R-Stars', 'Mazaalai']","['16', '8']",Dust2,IEM Katowice 2020 Asia Closed Qualifier,26557
7-1-20,"['R-Stars', 'Mazaalai']","['16', '7']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26557
7-1-20,"['TYLOO', 'Bren']","['18', '22']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26556
7-1-20,"['Bren', 'TYLOO']","['7', '16']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,26556
7-1-20,"['TYLOO', 'Bren']","['11', '16']",Train,IEM Katowice 2020 Asia Closed Qualifier,26556
7-1-20,"['ARCY', 'HAVU']","['10', '16']",Train,SECTOR: MOSTBET,26555
7-1-20,"['HAVU', 'ARCY']","['16', '6']",Nuke,SECTOR: MOSTBET,26555
7-1-20,"['SKADE', 'OG']","['13', '16']",Train,IEM Katowice 2020 Europe Open Qualifier 2,26554
7-1-20,"['MAD Lions', 'Winstrike']","['16', '13']",Train,IEM Katowice 2020 Europe Open Qualifier 2,26553
7-1-20,"['Sinners', 'AGO']","['13', '16']",Dust2,IEM Katowice 2020 Europe Open Qualifier 2,26552
7-1-20,"['Apeks', 'GamerLegion']","['16', '12']",Mirage,IEM Katowice 2020 Europe Open Qualifier 2,26551
8-1-20,"['SAW', 'Gambit Youngsters']","['6', '16']",Vertigo,IEM Katowice 2020 Europe Open Qualifier 2,26550
8-1-20,"['water gamers', 'Secret']","['16', '4']",Mirage,IEM Katowice 2020 Europe Open Qualifier 2,26549
8-1-20,"['Cloud9', 'Riot Squad']","['16', '7']",Dust2,IEM Katowice 2020 North America Closed Qualifier,26548
8-1-20,"['Riot Squad', 'Cloud9']","['4', '16']",Overpass,IEM Katowice 2020 North America Closed Qualifier,26548
8-1-20,"['MIBR', 'INTZ']","['16', '4']",Mirage,IEM Katowice 2020 North America Closed Qualifier,26547
8-1-20,"['INTZ', 'MIBR']","['16', '8']",Train,IEM Katowice 2020 North America Closed Qualifier,26547
8-1-20,"['INTZ', 'MIBR']","['16', '14']",Vertigo,IEM Katowice 2020 North America Closed Qualifier,26547
8-1-20,"['FURIA', 'Chaos']","['14', '16']",Train,IEM Katowice 2020 North America Closed Qualifier,26546
8-1-20,"['Chaos', 'FURIA']","['16', '14']",Mirage,IEM Katowice 2020 North America Closed Qualifier,26546
8-1-20,"['Complexity', 'Gen.G']","['16', '10']",Train,IEM Katowice 2020 North America Closed Qualifier,26545
8-1-20,"['Gen.G', 'Complexity']","['15', '19']",Mirage,IEM Katowice 2020 North America Closed Qualifier,26545
8-1-20,"['MELBET', 'Hard Legion']","['15', '19']",Overpass,IEM Katowice 2020 Europe Open Qualifier 2,26544
8-1-20,"['North', 'Nemiga']","['16', '12']",Mirage,IEM Katowice 2020 Europe Open Qualifier 2,26543
8-1-20,"['FURIA', 'Gen.G']","['13', '16']",Train,IEM Katowice 2020 North America Closed Qualifier,26542
8-1-20,"['Gen.G', 'FURIA']","['16', '9']",Inferno,IEM Katowice 2020 North America Closed Qualifier,26542
8-1-20,"['Cloud9', 'INTZ']","['16', '6']",Vertigo,IEM Katowice 2020 North America Closed Qualifier,26541
8-1-20,"['INTZ', 'Cloud9']","['7', '16']",Inferno,IEM Katowice 2020 North America Closed Qualifier,26541
8-1-20,"['Chaos', 'Complexity']","['4', '16']",Dust2,IEM Katowice 2020 North America Closed Qualifier,26540
8-1-20,"['Chaos', 'Complexity']","['11', '16']",Nuke,IEM Katowice 2020 North America Closed Qualifier,26540
8-1-20,"['MIBR', 'Riot Squad']","['16', '12']",Inferno,IEM Katowice 2020 North America Closed Qualifier,26539
8-1-20,"['Riot Squad', 'MIBR']","['16', '13']",Mirage,IEM Katowice 2020 North America Closed Qualifier,26539
8-1-20,"['Riot Squad', 'MIBR']","['10', '16']",Train,IEM Katowice 2020 North America Closed Qualifier,26539
8-1-20,"['TYLOO', 'OneThree']","['16', '8']",Train,IEM Katowice 2020 Asia Closed Qualifier,26538
8-1-20,"['AUGUST', 'R-Stars']","['12', '16']",Dust2,IEM Katowice 2020 Asia Closed Qualifier,26537
8-1-20,"['ViCi', 'Bren']","['7', '16']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26536
8-1-20,"['OneThree', 'TYLOO']","['12', '16']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,26535
8-1-20,"['R-Stars', 'AUGUST']","['16', '11']",Train,IEM Katowice 2020 Asia Closed Qualifier,26534
8-1-20,"['Bren', 'ViCi']","['12', '16']",Overpass,IEM Katowice 2020 Asia Closed Qualifier,26533
8-1-20,"['Bren', 'ViCi']","['10', '16']",Nuke,IEM Katowice 2020 Asia Closed Qualifier,26533
8-1-20,"['TYLOO', 'R-Stars']","['16', '11']",Train,IEM Katowice 2020 Asia Closed Qualifier,26532
8-1-20,"['R-Stars', 'TYLOO']","['4', '16']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,26532
8-1-20,"['HAVU', 'GODSENT']","['10', '16']",Inferno,SECTOR: MOSTBET,26531
8-1-20,"['HAVU', 'GODSENT']","['10', '16']",Train,SECTOR: MOSTBET,26531
8-1-20,"['water gamers', 'Hard Legion']","['6', '16']",Inferno,IEM Katowice 2020 Europe Open Qualifier 2,26530
8-1-20,"['OG', 'AGO']","['10', '16']",Inferno,IEM Katowice 2020 Europe Open Qualifier 2,26529
8-1-20,"['AGO', 'Hard Legion']","['16', '5']",Inferno,IEM Katowice 2020 Europe Open Qualifier 2,26528
8-1-20,"['AGO', 'Hard Legion']","['16', '10']",Dust2,IEM Katowice 2020 Europe Open Qualifier 2,26528
8-1-20,"['MAD Lions', 'Apeks']","['16', '4']",Overpass,IEM Katowice 2020 Europe Open Qualifier 2,26527
8-1-20,"['North', 'Gambit Youngsters']","['16', '8']",Mirage,IEM Katowice 2020 Europe Open Qualifier 2,26526
8-1-20,"['North', 'MAD Lions']","['8', '16']",Overpass,IEM Katowice 2020 Europe Open Qualifier 2,26525
8-1-20,"['MAD Lions', 'North']","['16', '4']",Mirage,IEM Katowice 2020 Europe Open Qualifier 2,26525
9-1-20,"['MIBR', 'Chaos']","['16', '5']",Mirage,IEM Katowice 2020 North America Closed Qualifier,26524
9-1-20,"['Chaos', 'MIBR']","['8', '16']",Inferno,IEM Katowice 2020 North America Closed Qualifier,26524
9-1-20,"['Gen.G', 'INTZ']","['14', '16']",Vertigo,IEM Katowice 2020 North America Closed Qualifier,26523
9-1-20,"['INTZ', 'Gen.G']","['16', '10']",Dust2,IEM Katowice 2020 North America Closed Qualifier,26523
9-1-20,"['Cloud9', 'Complexity']","['8', '16']",Dust2,IEM Katowice 2020 North America Closed Qualifier,26522
9-1-20,"['Complexity', 'Cloud9']","['14', '16']",Inferno,IEM Katowice 2020 North America Closed Qualifier,26522
9-1-20,"['Cloud9', 'Complexity']","['16', '3']",Nuke,IEM Katowice 2020 North America Closed Qualifier,26522
9-1-20,"['INTZ', 'MIBR']","['13', '16']",Vertigo,IEM Katowice 2020 North America Closed Qualifier,26521
9-1-20,"['INTZ', 'MIBR']","['16', '7']",Mirage,IEM Katowice 2020 North America Closed Qualifier,26521
9-1-20,"['INTZ', 'MIBR']","['10', '16']",Train,IEM Katowice 2020 North America Closed Qualifier,26521
9-1-20,"['TYLOO', 'Bren']","['16', '5']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,26520
9-1-20,"['Bren', 'TYLOO']","['5', '16']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,26520
9-1-20,"['TYLOO', 'ViCi']","['12', '16']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,26519
9-1-20,"['TYLOO', 'ViCi']","['7', '16']",Overpass,IEM Katowice 2020 Asia Closed Qualifier,26519
9-1-20,"['Heroic', 'MAD Lions']","['7', '16']",Train,IEM Katowice 2020 Europe Closed Qualifier,26518
9-1-20,"['MAD Lions', 'Heroic']","['16', '13']",Nuke,IEM Katowice 2020 Europe Closed Qualifier,26518
9-1-20,"['G2', 'AGO']","['16', '12']",Mirage,IEM Katowice 2020 Europe Closed Qualifier,26517
9-1-20,"['AGO', 'G2']","['16', '14']",Vertigo,IEM Katowice 2020 Europe Closed Qualifier,26517
9-1-20,"['G2', 'AGO']","['16', '10']",Dust2,IEM Katowice 2020 Europe Closed Qualifier,26517
9-1-20,"['FaZe', 'ARCY']","['16', '14']",Nuke,IEM Katowice 2020 Europe Closed Qualifier,26516
9-1-20,"['ARCY', 'FaZe']","['12', '16']",Dust2,IEM Katowice 2020 Europe Closed Qualifier,26516
9-1-20,"['ENCE', 'Illuminar']","['16', '14']",Nuke,IEM Katowice 2020 Europe Closed Qualifier,26515
9-1-20,"['Illuminar', 'ENCE']","['16', '6']",Overpass,IEM Katowice 2020 Europe Closed Qualifier,26515
9-1-20,"['ENCE', 'Illuminar']","['16', '7']",Train,IEM Katowice 2020 Europe Closed Qualifier,26515
9-1-20,"['FaZe', 'ENCE']","['16', '10']",Mirage,IEM Katowice 2020 Europe Closed Qualifier,26514
9-1-20,"['ENCE', 'FaZe']","['16', '12']",Dust2,IEM Katowice 2020 Europe Closed Qualifier,26514
9-1-20,"['ENCE', 'FaZe']","['12', '16']",Nuke,IEM Katowice 2020 Europe Closed Qualifier,26514
9-1-20,"['Illuminar', 'ARCY']","['16', '11']",Train,IEM Katowice 2020 Europe Closed Qualifier,26513
9-1-20,"['ARCY', 'Illuminar']","['12', '16']",Nuke,IEM Katowice 2020 Europe Closed Qualifier,26513
9-1-20,"['G2', 'MAD Lions']","['20', '22']",Train,IEM Katowice 2020 Europe Closed Qualifier,26512
9-1-20,"['MAD Lions', 'G2']","['14', '16']",Dust2,IEM Katowice 2020 Europe Closed Qualifier,26512
9-1-20,"['MAD Lions', 'G2']","['13', '16']",Nuke,IEM Katowice 2020 Europe Closed Qualifier,26512
9-1-20,"['Heroic', 'AGO']","['3', '16']",Train,IEM Katowice 2020 Europe Closed Qualifier,26511
9-1-20,"['AGO', 'Heroic']","['10', '16']",Nuke,IEM Katowice 2020 Europe Closed Qualifier,26511
9-1-20,"['AGO', 'Heroic']","['16', '5']",Vertigo,IEM Katowice 2020 Europe Closed Qualifier,26510
9-1-20,"['MIBR', 'Complexity']","['16', '7']",Mirage,IEM Katowice 2020 North America Closed Qualifier,26509
9-1-20,"['Complexity', 'MIBR']","['25', '28']",Inferno,IEM Katowice 2020 North America Closed Qualifier,26509
10-1-20,"['Infinity', 'Hadouken']","['16', '8']",Inferno,Aorus League 2019 #4 Northern Cone,26508
10-1-20,"['Infinity', 'Hadouken']","['16', '1']",Mirage,Aorus League 2019 #4 Northern Cone,26508
10-1-20,"['Cloud9', 'MIBR']","['13', '16']",Train,IEM Katowice 2020 North America Closed Qualifier,26507
10-1-20,"['MIBR', 'Cloud9']","['4', '16']",Overpass,IEM Katowice 2020 North America Closed Qualifier,26507
10-1-20,"['Cloud9', 'MIBR']","['16', '12']",Inferno,IEM Katowice 2020 North America Closed Qualifier,26507
10-1-20,"['Infamous', 'Supremacy']","['8', '16']",Nuke,Aorus League 2019 #4 Northern Cone,26506
10-1-20,"['Infamous', 'Supremacy']","['12', '16']",Inferno,Aorus League 2019 #4 Northern Cone,26506
10-1-20,"['ENCE', 'AGO']","['16', '1']",Inferno,IEM Katowice 2020 Europe Closed Qualifier,26505
10-1-20,"['AGO', 'ENCE']","['16', '12']",Mirage,IEM Katowice 2020 Europe Closed Qualifier,26505
10-1-20,"['ENCE', 'AGO']","['16', '5']",Dust2,IEM Katowice 2020 Europe Closed Qualifier,26505
10-1-20,"['MAD Lions', 'Illuminar']","['16', '12']",Nuke,IEM Katowice 2020 Europe Closed Qualifier,26504
10-1-20,"['Illuminar', 'MAD Lions']","['16', '10']",Overpass,IEM Katowice 2020 Europe Closed Qualifier,26504
10-1-20,"['MAD Lions', 'Illuminar']","['19', '17']",Train,IEM Katowice 2020 Europe Closed Qualifier,26504
10-1-20,"['ENCE', 'MAD Lions']","['7', '16']",Overpass,IEM Katowice 2020 Europe Closed Qualifier,26503
10-1-20,"['MAD Lions', 'ENCE']","['16', '10']",Mirage,IEM Katowice 2020 Europe Closed Qualifier,26503
10-1-20,"['Defusekids', 'hREDS']","['16', '10']",Inferno,DreamHack Open Leipzig 2020 Europe Open Qualifier,26502
10-1-20,"['Apeks', 'Tenerife Titans']","['2', '16']",Mirage,DreamHack Open Leipzig 2020 Europe Open Qualifier,26501
10-1-20,"['Avengers', 'SKADE']","['13', '16']",Inferno,DreamHack Open Leipzig 2020 Europe Open Qualifier,26500
11-1-20,"['Project X', 'KOVA']","['17', '19']",Nuke,DreamHack Open Leipzig 2020 Europe Open Qualifier,26499
11-1-20,"['AVEZ', 'Unique']","['22', '18']",Train,DreamHack Open Leipzig 2020 Europe Open Qualifier,26498
11-1-20,"['Secret', 'Juggernauts']","['16', '12']",Mirage,DreamHack Open Leipzig 2020 Europe Open Qualifier,26497
11-1-20,"['Infinity', 'Supremacy']","['16', '10']",Mirage,Aorus League 2019 #4 Northern Cone,26496
11-1-20,"['Infinity', 'Supremacy']","['16', '4']",Train,Aorus League 2019 #4 Northern Cone,26496
11-1-20,"['Copenhagen Flames', 'Gambit Youngsters']","['7', '16']",Mirage,DreamHack Open Leipzig 2020 Europe Open Qualifier,26495
11-1-20,"['NAVI Junior', 'Winstrike']","['20', '22']",Dust2,DreamHack Open Leipzig 2020 Europe Open Qualifier,26494
11-1-20,"['Infamous', 'Tecsysnet']","['16', '3']",Inferno,Aorus League 2019 #4 Northern Cone,26493
11-1-20,"['GMCC', 'A Point']","['16', '4']",Overpass,NVIDIA Geforce Cup Pacific 2019,26492
11-1-20,"['GTV.Revolution', 'Impunity']","['16', '14']",Dust2,NVIDIA Geforce Cup Pacific 2019,26491
11-1-20,"['BOOM', 'Darkhorse']","['16', '14']",Inferno,NVIDIA Geforce Cup Pacific 2019,26490
11-1-20,"['MiTH.Maple', 'Entity']","['16', '8']",Overpass,NVIDIA Geforce Cup Pacific 2019,26489
11-1-20,"['Bren', 'GMCC']","['19', '17']",Nuke,NVIDIA Geforce Cup Pacific 2019,26488
11-1-20,"['ex-Genuine', 'BOOM']","['11', '16']",Mirage,NVIDIA Geforce Cup Pacific 2019,26487
11-1-20,"['A Point', 'GTV.Revolution']","['4', '16']",Inferno,NVIDIA Geforce Cup Pacific 2019,26486
11-1-20,"['Darkhorse', 'Entity']","['16', '13']",Dust2,NVIDIA Geforce Cup Pacific 2019,26485
11-1-20,"['ex-Genuine', 'Entity']","['16', '7']",Train,NVIDIA Geforce Cup Pacific 2019,26484
11-1-20,"['Impunity', 'Bren']","['11', '16']",Dust2,NVIDIA Geforce Cup Pacific 2019,26483
11-1-20,"['MiTH.Maple', 'Darkhorse']","['16', '8']",Overpass,NVIDIA Geforce Cup Pacific 2019,26482
11-1-20,"['GMCC', 'GTV.Revolution']","['7', '16']",Dust2,NVIDIA Geforce Cup Pacific 2019,26481
11-1-20,"['Bren', 'A Point']","['16', '6']",Inferno,NVIDIA Geforce Cup Pacific 2019,26480
11-1-20,"['MiTH.Maple', 'BOOM']","['16', '8']",Train,NVIDIA Geforce Cup Pacific 2019,26479
11-1-20,"['Darkhorse', 'ex-Genuine']","['10', '16']",Dust2,NVIDIA Geforce Cup Pacific 2019,26478
11-1-20,"['Impunity', 'A Point']","['16', '10']",Mirage,NVIDIA Geforce Cup Pacific 2019,26477
11-1-20,"['Bren', 'GTV.Revolution']","['16', '5']",Inferno,NVIDIA Geforce Cup Pacific 2019,26476
11-1-20,"['Entity', 'BOOM']","['9', '16']",Dust2,NVIDIA Geforce Cup Pacific 2019,26475
11-1-20,"['MiTH.Maple', 'ex-Genuine']","['16', '13']",Vertigo,NVIDIA Geforce Cup Pacific 2019,26474
11-1-20,"['GMCC', 'Impunity']","['12', '16']",Mirage,NVIDIA Geforce Cup Pacific 2019,26473
11-1-20,"['Gambit Youngsters', 'Winstrike']","['16', '11']",Dust2,DreamHack Open Leipzig 2020 Europe Open Qualifier,26472
11-1-20,"['Secret', 'KOVA']","['16', '12']",Nuke,DreamHack Open Leipzig 2020 Europe Open Qualifier,26471
11-1-20,"['KOVA', 'Secret']","['22', '25']",Mirage,DreamHack Open Leipzig 2020 Europe Open Qualifier,26471
11-1-20,"['Winstrike', 'Gambit Youngsters']","['10', '16']",Overpass,DreamHack Open Leipzig 2020 Europe Open Qualifier,26470
