Team1,Team1_Status,Team2,Team2_Status,Date,Map,Event
Under 21,l,Recon 5,w,21-5-20,Nuke,ESEA MDL Season 34 North America
New England Whalers,w,Polar Ace,l,21-5-20,Overpass,ESEA MDL Season 34 North America
"[""Buffdaddys Paypal""",l,Keep the Comms Up,w,21-5-20,Mirage,ESEA MDL Season 34 North America
Way 2 French,l,Chaos,w,21-5-20,Inferno,ESEA MDL Season 34 North America
Swedish Canadians,w,AA,l,21-5-20,Mirage,ESEA MDL Season 34 North America
Morning Light,w,Keep the Comms Up,l,21-5-20,Mirage,ESEA MDL Season 34 North America
RBG,w,Under 21,l,21-5-20,Inferno,WINNERS League Season 4 North America
Chaos,w,"""Buffdaddys Paypal""",l,21-5-20,Overpass,ESEA MDL Season 34 North America
FURIA,w,MIBR,l,20-5-20,Train,DreamHack Masters Spring 2020 - North America
FURIA,w,MIBR,l,20-5-20,Train,DreamHack Masters Spring 2020 - North America
Apeks,l,Spirit,w,20-5-20,Train,Home Sweet Home Cup 5
Apeks,l,Spirit,w,20-5-20,Train,Home Sweet Home Cup 5
Izako Boars,w,CLEANTmix,l,20-5-20,Train,WINNERS League Season 4 Europe
Endpoint,w,SG.pro,l,20-5-20,Train,Hellcase Cup 8
Endpoint,w,SG.pro,l,20-5-20,Train,Hellcase Cup 8
CR4ZY,w,BIG Academy,l,20-5-20,Nuke,WINNERS League Season 4 Europe
Tricked,w,SKADE,l,20-5-20,Inferno,SECTOR: MOSTBET Season 3
Tricked,w,SKADE,l,20-5-20,Inferno,SECTOR: MOSTBET Season 3
North,l,Astralis,w,20-5-20,Inferno,DreamHack Masters Spring 2020 - Europe
North,l,Astralis,w,20-5-20,Inferno,DreamHack Masters Spring 2020 - Europe
pro100,l,Nemiga,w,20-5-20,Inferno,ESEA MDL Season 34 Europe
Apeks,w,AVEZ,l,20-5-20,Dust2,Home Sweet Home Cup 5
Apeks,w,AVEZ,l,20-5-20,Dust2,Home Sweet Home Cup 5
Apeks,l,AVEZ,w,20-5-20,Dust2,Home Sweet Home Cup 5
ALTERNATE aTTaX,w,Sprout,l,20-5-20,Inferno,ESEA MDL Season 34 Europe
LDLC,l,SG.pro,w,20-5-20,Train,Hellcase Cup 8
LDLC,l,SG.pro,w,20-5-20,Train,Hellcase Cup 8
LDLC,w,SG.pro,l,20-5-20,Train,Hellcase Cup 8
pro100,l,PACT,w,20-5-20,Train,ESEA MDL Season 34 Europe
Tricked,l,Hard Legion,w,20-5-20,Train,SECTOR: MOSTBET Season 3
Tricked,l,Hard Legion,w,20-5-20,Train,SECTOR: MOSTBET Season 3
Tricked,w,Hard Legion,l,20-5-20,Train,SECTOR: MOSTBET Season 3
G2,w,Heroic,l,20-5-20,Mirage,DreamHack Masters Spring 2020 - Europe
G2,w,Heroic,l,20-5-20,Mirage,DreamHack Masters Spring 2020 - Europe
G2,l,Heroic,w,20-5-20,Mirage,DreamHack Masters Spring 2020 - Europe
Spirit,l,Secret,w,20-5-20,Nuke,Home Sweet Home Cup 5
Spirit,l,Secret,w,20-5-20,Nuke,Home Sweet Home Cup 5
Spirit,w,Secret,l,20-5-20,Nuke,Home Sweet Home Cup 5
Justice,w,PC419,l,20-5-20,Train,ESEA MDL Season 34 Australia
AVEZ,l,Spirit,w,20-5-20,Nuke,Home Sweet Home Cup 5
Rooster,w,Bantz,l,20-5-20,Nuke,ESEA MDL Season 34 Australia
Apeks,l,Secret,w,20-5-20,Mirage,Home Sweet Home Cup 5
Swedish Canadians,w,Polar Ace,l,20-5-20,Overpass,ESEA MDL Season 34 North America
Infinity,l,Under 21,w,20-5-20,Dust2,ESEA MDL Season 34 North America
Warriors International,w,Big Frames,l,20-5-20,Mirage,ESEA MDL Season 34 North America
AA,w,Way 2 French,l,20-5-20,Mirage,ESEA MDL Season 34 North America
New England Whalers,w,Warriors International,l,20-5-20,Overpass,ESEA MDL Season 34 North America
Big Frames,w,Keep the Comms Up,l,20-5-20,Mirage,ESEA MDL Season 34 North America
Morning Light,w,Infinity,l,20-5-20,Overpass,WINNERS League Season 4 North America
Rugratz,l,blood,w,20-5-20,Inferno,ESEA MDL Season 34 North America
TeamOne,l,Recon 5,w,20-5-20,Inferno,WINNERS League Season 4 North America
Chaos,w,Liquid,l,19-5-20,Overpass,DreamHack Masters Spring 2020 - North America
Chaos,w,Liquid,l,19-5-20,Overpass,DreamHack Masters Spring 2020 - North America
Chaos,l,Liquid,w,19-5-20,Overpass,DreamHack Masters Spring 2020 - North America
Heretics,l,ALTERNATE aTTaX,w,19-5-20,Overpass,BLAST Rising 2020
Heretics,l,ALTERNATE aTTaX,w,19-5-20,Overpass,BLAST Rising 2020
Heretics,w,ALTERNATE aTTaX,l,19-5-20,Overpass,BLAST Rising 2020
FATE,l,KOVA,w,19-5-20,Dust2,WINNERS League Season 4 Europe
Hard Legion,w,AGO,l,19-5-20,Mirage,Home Sweet Home Cup 5
Hard Legion,l,AGO,w,19-5-20,Mirage,Home Sweet Home Cup 5
Hard Legion,w,AGO,l,19-5-20,Mirage,Home Sweet Home Cup 5
SKADE,l,HellRaisers,w,19-5-20,Inferno,SECTOR: MOSTBET Season 3
SKADE,l,HellRaisers,w,19-5-20,Inferno,SECTOR: MOSTBET Season 3
SKADE,w,HellRaisers,l,19-5-20,Inferno,SECTOR: MOSTBET Season 3
LDLC,l,Endpoint,w,19-5-20,Dust2,Hellcase Cup 8
LDLC,w,Endpoint,l,19-5-20,Dust2,Hellcase Cup 8
LDLC,l,Endpoint,w,19-5-20,Dust2,Hellcase Cup 8
FATE,w,Unicorns of Love,l,19-5-20,Overpass,ESEA MDL Season 34 Europe
Wisla Krakow,w,ALTERNATE aTTaX,l,19-5-20,Overpass,ESEA MDL Season 34 Europe
Espada,w,SKADE,l,19-5-20,Train,WINNERS League Season 4 Europe
pro100,w,HellRaisers,l,19-5-20,Dust2,ESEA MDL Season 34 Europe
GamerLegion,l,Demolition Crew,w,19-5-20,Mirage,ESEA MDL Season 34 Europe
Salamander,l,Hard Legion,w,19-5-20,Inferno,Home Sweet Home Cup 5
Salamander,l,Hard Legion,w,19-5-20,Inferno,Home Sweet Home Cup 5
North,w,G2,l,19-5-20,Dust2,DreamHack Masters Spring 2020 - Europe
North,l,G2,w,19-5-20,Dust2,DreamHack Masters Spring 2020 - Europe
North,w,G2,l,19-5-20,Dust2,DreamHack Masters Spring 2020 - Europe
Syman,l,SG.pro,w,19-5-20,Train,Hellcase Cup 8
Syman,l,SG.pro,w,19-5-20,Train,Hellcase Cup 8
Japaleno,l,HAVU,w,19-5-20,Train,BLAST Rising 2020
Japaleno,l,HAVU,w,19-5-20,Train,BLAST Rising 2020
Nordavind,l,Sprout,w,19-5-20,Dust2,ESEA MDL Season 34 Europe
AGO,l,SMASH,w,19-5-20,Dust2,Home Sweet Home Cup 5
AGO,l,SMASH,w,19-5-20,Dust2,Home Sweet Home Cup 5
AGO,w,SMASH,l,19-5-20,Dust2,Home Sweet Home Cup 5
Heroic,l,Astralis,w,19-5-20,Inferno,DreamHack Masters Spring 2020 - Europe
Heroic,l,Astralis,w,19-5-20,Inferno,DreamHack Masters Spring 2020 - Europe
Endpoint,w,SG.pro,l,19-5-20,Overpass,Hellcase Cup 8
Endpoint,l,SG.pro,w,19-5-20,Overpass,Hellcase Cup 8
Endpoint,w,SG.pro,l,19-5-20,Overpass,Hellcase Cup 8
Forbidden,l,Control,w,19-5-20,Mirage,ESEA MDL Season 34 Australia
SMASH,w,Hard Legion,l,19-5-20,Inferno,Home Sweet Home Cup 5
AVANT,w,Paradox,l,19-5-20,Inferno,ESEA MDL Season 34 Australia
Rooster,l,Chiefs,w,19-5-20,Inferno,ESEA MDL Season 34 Australia
Salamander,l,AGO,w,19-5-20,Dust2,Home Sweet Home Cup 5
Polar Ace,l,Swedish Canadians,w,19-5-20,Overpass,WINNERS League Season 4 North America
Chaos,w,Warriors International,l,19-5-20,Overpass,WINNERS League Season 4 North America
PACT,w,Singularity,l,18-5-20,Vertigo,WINNERS League Season 4 Europe
FATE,l,Nordavind,w,18-5-20,Inferno,BLAST Rising 2020
FATE,l,Nordavind,w,18-5-20,Inferno,BLAST Rising 2020
sAw,w,Ambush,l,18-5-20,Nuke,Home Sweet Home Cup 6 Closed Qualifier
sAw,l,Ambush,w,18-5-20,Nuke,Home Sweet Home Cup 6 Closed Qualifier
sAw,w,Ambush,l,18-5-20,Nuke,Home Sweet Home Cup 6 Closed Qualifier
LDLC,w,Syman,l,18-5-20,Dust2,Hellcase Cup 8
LDLC,w,Syman,l,18-5-20,Dust2,Hellcase Cup 8
LDLC,l,Syman,w,18-5-20,Dust2,Hellcase Cup 8
AVEZ,l,Endpoint,w,18-5-20,Vertigo,BLAST Rising 2020
AVEZ,l,Endpoint,w,18-5-20,Vertigo,BLAST Rising 2020
ALTERNATE aTTaX,w,Nemiga,l,18-5-20,Vertigo,ESEA MDL Season 34 Europe
FATE,l,sAw,w,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
FATE,w,sAw,l,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
FATE,l,sAw,w,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
AGF,l,Ambush,w,18-5-20,Overpass,Home Sweet Home Cup 6 Closed Qualifier
AGF,l,Ambush,w,18-5-20,Overpass,Home Sweet Home Cup 6 Closed Qualifier
Singularity,l,sAw,w,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
Singularity,l,sAw,w,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
Singularity,w,sAw,l,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
Ambush,w,Pompa,l,18-5-20,Inferno,Home Sweet Home Cup 6 Closed Qualifier
Ambush,w,Pompa,l,18-5-20,Inferno,Home Sweet Home Cup 6 Closed Qualifier
TWA,w,Bantz,l,18-5-20,Train,ESEA MDL Season 34 Australia
FATE,w,HellRaisers,l,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
FATE,l,HellRaisers,w,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
FATE,w,HellRaisers,l,18-5-20,Dust2,Home Sweet Home Cup 6 Closed Qualifier
LDLC,l,AGF,w,18-5-20,Inferno,Home Sweet Home Cup 6 Closed Qualifier
LDLC,l,AGF,w,18-5-20,Inferno,Home Sweet Home Cup 6 Closed Qualifier
LDLC,w,AGF,l,18-5-20,Inferno,Home Sweet Home Cup 6 Closed Qualifier
RED Canids,l,W7M,w,17-5-20,Overpass,CLUTCH Season 2
RED Canids,l,W7M,w,17-5-20,Overpass,CLUTCH Season 2
Complexity,w,Secret,l,17-5-20,Nuke,Home Sweet Home Cup 4
Complexity,w,Secret,l,17-5-20,Nuke,Home Sweet Home Cup 4
Heretics,l,NiP,w,17-5-20,Vertigo,ESL One: Road to Rio - Europe
Heretics,l,NiP,w,17-5-20,Vertigo,ESL One: Road to Rio - Europe
Heretics,w,NiP,l,17-5-20,Vertigo,ESL One: Road to Rio - Europe
Astralis,w,G2,l,17-5-20,Vertigo,ESL One: Road to Rio - Europe
Astralis,w,G2,l,17-5-20,Vertigo,ESL One: Road to Rio - Europe
Complexity,w,Sprout,l,17-5-20,Inferno,Home Sweet Home Cup 4
Complexity,w,Sprout,l,17-5-20,Inferno,Home Sweet Home Cup 4
mYinsanity,l,KINGZZZ,w,17-5-20,Dust2,Swiss Esports League Spring Season 2020
mYinsanity,l,KINGZZZ,w,17-5-20,Dust2,Swiss Esports League Spring Season 2020
Real Betis,w,Wygers,l,17-5-20,Inferno,RTP Arena Cup
Real Betis,w,Wygers,l,17-5-20,Inferno,RTP Arena Cup
Real Betis,l,Wygers,w,17-5-20,Inferno,RTP Arena Cup
Hard Legion,w,Virtus.pro,l,17-5-20,Dust2,ESL One: Road to Rio - CIS
Hard Legion,w,Virtus.pro,l,17-5-20,Dust2,ESL One: Road to Rio - CIS
Hard Legion,l,Virtus.pro,w,17-5-20,Dust2,ESL One: Road to Rio - CIS
Winstrike,l,Spirit,w,17-5-20,Nuke,ESL One: Road to Rio - CIS
Winstrike,l,Spirit,w,17-5-20,Nuke,ESL One: Road to Rio - CIS
sAw,w,KPI,l,17-5-20,Vertigo,RTP Arena Cup
sAw,w,KPI,l,17-5-20,Vertigo,RTP Arena Cup
Gambit Youngsters,l,Secret,w,17-5-20,Dust2,Home Sweet Home Cup 4
Secret,w,Gambit Youngsters,l,17-5-20,Mirage,Home Sweet Home Cup 4
Secret,l,Gambit Youngsters,w,17-5-20,Mirage,Home Sweet Home Cup 4
Skyfire,l,Generation of Miracles,w,17-5-20,Mirage,ESL Australia & NZ Championship Season 11 Qualifier 2
Skyfire,l,Generation of Miracles,w,17-5-20,Mirage,ESL Australia & NZ Championship Season 11 Qualifier 2
Generation of Miracles,w,Overt,l,17-5-20,Train,ESL Australia & NZ Championship Season 11 Qualifier 2
Generation of Miracles,w,Overt,l,17-5-20,Train,ESL Australia & NZ Championship Season 11 Qualifier 2
Generation of Miracles,l,Skyfire,w,17-5-20,Vertigo,ESL Australia & NZ Championship Season 11 Qualifier 2
Generation of Miracles,l,Skyfire,w,17-5-20,Vertigo,ESL Australia & NZ Championship Season 11 Qualifier 2
Isurus,l,RED Canids,w,16-5-20,Dust2,CLUTCH Season 2
Isurus,l,RED Canids,w,16-5-20,Dust2,CLUTCH Season 2
Isurus,w,RED Canids,l,16-5-20,Dust2,CLUTCH Season 2
G2,w,FaZe,l,16-5-20,Nuke,ESL One: Road to Rio - Europe
G2,w,FaZe,l,16-5-20,Nuke,ESL One: Road to Rio - Europe
G2,l,FaZe,w,16-5-20,Nuke,ESL One: Road to Rio - Europe
North,l,GODSENT,w,16-5-20,Nuke,ESL One: Road to Rio - Europe
North,l,GODSENT,w,16-5-20,Nuke,ESL One: Road to Rio - Europe
North,w,GODSENT,l,16-5-20,Nuke,ESL One: Road to Rio - Europe
Gambit Youngsters,l,Hard Legion,w,16-5-20,Inferno,Home Sweet Home Cup 4
Gambit Youngsters,l,Hard Legion,w,16-5-20,Inferno,Home Sweet Home Cup 4
Gambit Youngsters,w,Hard Legion,l,16-5-20,Inferno,Home Sweet Home Cup 4
x6tence,l,Giants,w,16-5-20,Dust2,RTP Arena Cup
x6tence,l,Giants,w,16-5-20,Dust2,RTP Arena Cup
x6tence,w,Giants,l,16-5-20,Dust2,RTP Arena Cup
Secret,w,SMASH,l,16-5-20,Dust2,Home Sweet Home Cup 4
Secret,w,SMASH,l,16-5-20,Dust2,Home Sweet Home Cup 4
Nemiga,w,Syman,l,16-5-20,Overpass,ESL One: Road to Rio - CIS
Nemiga,w,Syman,l,16-5-20,Overpass,ESL One: Road to Rio - CIS
Winstrike,w,Hard Legion,l,16-5-20,Mirage,ESL One: Road to Rio - CIS
Winstrike,w,Hard Legion,l,16-5-20,Mirage,ESL One: Road to Rio - CIS
Complexity,w,Endpoint,l,16-5-20,Mirage,Home Sweet Home Cup 4
Complexity,w,Endpoint,l,16-5-20,Mirage,Home Sweet Home Cup 4
Movistar Riders,w,S2V,l,16-5-20,Overpass,RTP Arena Cup
Movistar Riders,l,S2V,w,16-5-20,Overpass,RTP Arena Cup
Movistar Riders,w,S2V,l,16-5-20,Overpass,RTP Arena Cup
Salamander,l,Sprout,w,16-5-20,Dust2,Home Sweet Home Cup 4
Salamander,l,Sprout,w,16-5-20,Dust2,Home Sweet Home Cup 4
Salamander,w,Sprout,l,16-5-20,Dust2,Home Sweet Home Cup 4
Keyd,l,W7M,w,16-5-20,Inferno,CLUTCH Season 2
Keyd,l,W7M,w,16-5-20,Inferno,CLUTCH Season 2
FaZe,l,Astralis,w,15-5-20,Inferno,ESL One: Road to Rio - Europe
FaZe,l,Astralis,w,15-5-20,Inferno,ESL One: Road to Rio - Europe
Copenhagen Flames,l,Gambit Youngsters,w,15-5-20,Inferno,Home Sweet Home Cup 4
Copenhagen Flames,l,Gambit Youngsters,w,15-5-20,Inferno,Home Sweet Home Cup 4
AVEZ,l,Gambit Youngsters,w,15-5-20,Overpass,Home Sweet Home Cup 4
AVEZ,l,Gambit Youngsters,w,15-5-20,Overpass,Home Sweet Home Cup 4
G2,w,Vitality,l,15-5-20,Dust2,ESL One: Road to Rio - Europe
G2,l,Vitality,w,15-5-20,Dust2,ESL One: Road to Rio - Europe
G2,w,Vitality,l,15-5-20,Dust2,ESL One: Road to Rio - Europe
NAVI Junior,w,LDLC,l,15-5-20,Inferno,SECTOR: MOSTBET Season 3
NAVI Junior,w,LDLC,l,15-5-20,Inferno,SECTOR: MOSTBET Season 3
Copenhagen Flames,l,Sprout,w,15-5-20,Dust2,Home Sweet Home Cup 4
Copenhagen Flames,l,Sprout,w,15-5-20,Dust2,Home Sweet Home Cup 4
Spirit,w,Virtus.pro,l,15-5-20,Overpass,ESL One: Road to Rio - CIS
Spirit,l,Virtus.pro,w,15-5-20,Overpass,ESL One: Road to Rio - CIS
Spirit,w,Virtus.pro,l,15-5-20,Overpass,ESL One: Road to Rio - CIS
Gambit Youngsters,l,Sprout,w,15-5-20,Inferno,Home Sweet Home Cup 4
Copenhagen Flames,w,AVEZ,l,15-5-20,Nuke,Home Sweet Home Cup 4
Infinity,l,Swedish Canadians,w,15-5-20,Overpass,ESEA MDL Season 34 North America
AA,l,Warriors International,w,15-5-20,Mirage,ESEA MDL Season 34 North America
Keep the Comms Up,l,Recon 5,w,15-5-20,Inferno,ESEA MDL Season 34 North America
Polar Ace,l,Chaos,w,15-5-20,Mirage,ESEA MDL Season 34 North America
AVEZ,w,Secret,l,14-5-20,Nuke,BLAST Rising 2020
Heretics,l,G2,w,14-5-20,Mirage,ESL One: Road to Rio - Europe
Heretics,w,G2,l,14-5-20,Mirage,ESL One: Road to Rio - Europe
Heretics,l,G2,w,14-5-20,Mirage,ESL One: Road to Rio - Europe
SMASH,w,SKADE,l,14-5-20,Train,Home Sweet Home Cup 4
SMASH,w,SKADE,l,14-5-20,Train,Home Sweet Home Cup 4
SMASH,l,SKADE,w,14-5-20,Train,Home Sweet Home Cup 4
AVEZ,w,sAw,l,14-5-20,Mirage,BLAST Rising 2020
Secret,w,sAw,l,14-5-20,Nuke,BLAST Rising 2020
FATE,w,Movistar Riders,l,14-5-20,Overpass,ESEA MDL Season 34 Europe
PACT,w,ALTERNATE aTTaX,l,14-5-20,Inferno,ESEA MDL Season 34 Europe
NAVI Junior,l,Espada,w,14-5-20,Overpass,SECTOR: MOSTBET Season 3
NAVI Junior,l,Espada,w,14-5-20,Overpass,SECTOR: MOSTBET Season 3
NAVI Junior,w,Espada,l,14-5-20,Overpass,SECTOR: MOSTBET Season 3
Secret,l,Heretics,w,14-5-20,Nuke,BLAST Rising 2020
HellRaisers,l,AGO,w,14-5-20,Dust2,ESEA MDL Season 34 Europe
Movistar Riders,l,Sprout,w,14-5-20,Train,ESEA MDL Season 34 Europe
SMASH,w,KOVA,l,14-5-20,Dust2,Home Sweet Home Cup 4
SMASH,w,KOVA,l,14-5-20,Dust2,Home Sweet Home Cup 4
SMASH,l,KOVA,w,14-5-20,Dust2,Home Sweet Home Cup 4
Heretics,w,AVEZ,l,14-5-20,Inferno,BLAST Rising 2020
ALTERNATE aTTaX,w,Unicorns of Love,l,14-5-20,Vertigo,ESEA MDL Season 34 Europe
NiP,l,Vitality,w,14-5-20,Inferno,ESL One: Road to Rio - Europe
NiP,w,Vitality,l,14-5-20,Inferno,ESL One: Road to Rio - Europe
NiP,l,Vitality,w,14-5-20,Inferno,ESL One: Road to Rio - Europe
GamerLegion,l,AGO,w,14-5-20,Dust2,ESEA MDL Season 34 Europe
Heretics,w,sAw,l,14-5-20,Inferno,BLAST Rising 2020
Pompa,l,LDLC,w,14-5-20,Dust2,SECTOR: MOSTBET Season 3
Pompa,l,LDLC,w,14-5-20,Dust2,SECTOR: MOSTBET Season 3
Ground Zero,w,TWA,l,14-5-20,Inferno,ESEA MDL Season 34 Australia
SKADE,l,Endpoint,w,14-5-20,Overpass,Home Sweet Home Cup 4
SKADE,w,Endpoint,l,14-5-20,Overpass,Home Sweet Home Cup 4
SKADE,l,Endpoint,w,14-5-20,Overpass,Home Sweet Home Cup 4
Incept,l,Ground Zero,w,14-5-20,Dust2,ESEA MDL Season 34 Australia
ORDER,w,PC419,l,14-5-20,Nuke,ESEA MDL Season 34 Australia
esea open,l,AVANT,w,14-5-20,Nuke,ESEA MDL Season 34 Australia
Syman,l,Winstrike,w,14-5-20,Nuke,ESL One: Road to Rio - CIS
Syman,l,Winstrike,w,14-5-20,Nuke,ESL One: Road to Rio - CIS
KOVA,l,Endpoint,w,14-5-20,Vertigo,Home Sweet Home Cup 4
ORDER,w,Paradox,l,14-5-20,Train,ESEA MDL Season 34 Australia
TWA,w,Forbidden,l,14-5-20,Mirage,ESEA MDL Season 34 Australia
AVANT,l,ORDER,w,14-5-20,Nuke,ESEA MDL Season 34 Australia
Incept,w,esea open,l,14-5-20,Mirage,ESEA MDL Season 34 Australia
SMASH,l,SKADE,w,14-5-20,Overpass,Home Sweet Home Cup 4
Warriors International,l,Recon 5,w,14-5-20,Vertigo,ESEA MDL Season 34 North America
"[""Buffdaddys Paypal""",l,Infinity,w,14-5-20,Dust2,ESEA MDL Season 34 North America
Recon 5,w,Morning Light,l,14-5-20,Inferno,ESEA MDL Season 34 North America
TeamOne,w,Polar Ace,l,14-5-20,Mirage,ESEA MDL Season 34 North America
Big Frames,w,Way 2 French,l,14-5-20,Mirage,ESEA MDL Season 34 North America
Mythic,w,Infinity,l,14-5-20,Overpass,ESEA MDL Season 34 North America
New England Whalers,w,"""Buffdaddys Paypal""",l,14-5-20,Overpass,ESEA MDL Season 34 North America
Under 21,w,AA,l,14-5-20,Inferno,ESEA MDL Season 34 North America
Japaleno,l,FATE,w,13-5-20,Dust2,BLAST Rising 2020
G2,l,Astralis,w,13-5-20,Overpass,ESL One: Road to Rio - Europe
G2,l,Astralis,w,13-5-20,Overpass,ESL One: Road to Rio - Europe
Apeks,l,Movistar Riders,w,13-5-20,Nuke,BLAST Rising 2020
Singularity,l,PACT,w,13-5-20,Dust2,ESEA MDL Season 34 Europe
Sinners,l,Complexity,w,13-5-20,Nuke,Home Sweet Home Cup 4
Sinners,l,Complexity,w,13-5-20,Nuke,Home Sweet Home Cup 4
Japaleno,w,Apeks,l,13-5-20,Mirage,BLAST Rising 2020
SKADE,l,PACT,w,13-5-20,Dust2,ESEA MDL Season 34 Europe
Movistar Riders,l,FATE,w,13-5-20,Inferno,BLAST Rising 2020
SKADE,l,Sprout,w,13-5-20,Dust2,ESEA MDL Season 34 Europe
Apeks,l,FATE,w,13-5-20,Overpass,BLAST Rising 2020
Unicorns of Love,l,Wisla Krakow,w,13-5-20,Nuke,ESEA MDL Season 34 Europe
Espada,l,Complexity,w,13-5-20,Inferno,Home Sweet Home Cup 4
Espada,l,Complexity,w,13-5-20,Inferno,Home Sweet Home Cup 4
Espada,w,Complexity,l,13-5-20,Inferno,Home Sweet Home Cup 4
Japaleno,w,Movistar Riders,l,13-5-20,Mirage,BLAST Rising 2020
NiP,l,FaZe,w,13-5-20,Train,ESL One: Road to Rio - Europe
NiP,l,FaZe,w,13-5-20,Train,ESL One: Road to Rio - Europe
NiP,w,FaZe,l,13-5-20,Train,ESL One: Road to Rio - Europe
Overt,l,Skyfire,w,13-5-20,Vertigo,ESEA MDL Season 34 Australia
Secret,w,Sinners,l,13-5-20,Mirage,Home Sweet Home Cup 4
Secret,w,Sinners,l,13-5-20,Mirage,Home Sweet Home Cup 4
Secret,l,Sinners,w,13-5-20,Mirage,Home Sweet Home Cup 4
Nemiga,l,Virtus.pro,w,13-5-20,Vertigo,ESL One: Road to Rio - CIS
Nemiga,l,Virtus.pro,w,13-5-20,Vertigo,ESL One: Road to Rio - CIS
Nemiga,w,Virtus.pro,l,13-5-20,Vertigo,ESL One: Road to Rio - CIS
Complexity,l,Sinners,w,13-5-20,Mirage,Home Sweet Home Cup 4
PC419,l,Mako,w,13-5-20,Nuke,ESEA MDL Season 34 Australia
Forbidden,l,Justice,w,13-5-20,Dust2,ESEA MDL Season 34 Australia
Secret,w,Espada,l,13-5-20,Mirage,Home Sweet Home Cup 4
Infinity,l,Warriors International,w,13-5-20,Dust2,ESEA MDL Season 34 North America
Recon 5,w,Swedish Canadians,l,13-5-20,Dust2,ESEA MDL Season 34 North America
Mythic,w,Keep the Comms Up,l,13-5-20,Overpass,ESEA MDL Season 34 North America
Rugratz,w,Morning Light,l,13-5-20,Inferno,ESEA MDL Season 34 North America
AA,l,Chaos,w,13-5-20,Inferno,ESEA MDL Season 34 North America
Nordavind,w,AGO,l,12-5-20,Mirage,BLAST Rising 2020
Giants,w,HAVU,l,12-5-20,Nuke,BLAST Rising 2020
Giants,w,AGO,l,12-5-20,Dust2,BLAST Rising 2020
Salamander,w,Ambush,l,12-5-20,Nuke,Home Sweet Home Cup 4
Salamander,w,Ambush,l,12-5-20,Nuke,Home Sweet Home Cup 4
Salamander,l,Ambush,w,12-5-20,Nuke,Home Sweet Home Cup 4
Copenhagen Flames,l,ENCE,w,12-5-20,Train,ESL One: Road to Rio - Europe
Copenhagen Flames,l,ENCE,w,12-5-20,Train,ESL One: Road to Rio - Europe
Heretics,w,North,l,12-5-20,Vertigo,ESL One: Road to Rio - Europe
Heretics,w,North,l,12-5-20,Vertigo,ESL One: Road to Rio - Europe
Nordavind,w,HAVU,l,12-5-20,Dust2,BLAST Rising 2020
NAVI Junior,w,LDLC,l,12-5-20,Dust2,SECTOR: MOSTBET Season 3
NAVI Junior,w,LDLC,l,12-5-20,Dust2,SECTOR: MOSTBET Season 3
NAVI Junior,l,LDLC,w,12-5-20,Dust2,SECTOR: MOSTBET Season 3
Giants,l,Nordavind,w,12-5-20,Inferno,BLAST Rising 2020
Singularity,l,Nemiga,w,12-5-20,Overpass,ESEA MDL Season 34 Europe
PACT,w,HellRaisers,l,12-5-20,Train,ESEA MDL Season 34 Europe
Sprout,l,Endpoint,w,12-5-20,Overpass,ESEA MDL Season 34 Europe
HAVU,w,AGO,l,12-5-20,Dust2,BLAST Rising 2020
GamerLegion,l,Nordavind,w,12-5-20,Mirage,ESEA MDL Season 34 Europe
ALTERNATE aTTaX,l,Ambush,w,12-5-20,Overpass,Home Sweet Home Cup 4
ALTERNATE aTTaX,w,Ambush,l,12-5-20,Overpass,Home Sweet Home Cup 4
ALTERNATE aTTaX,l,Ambush,w,12-5-20,Overpass,Home Sweet Home Cup 4
Movistar Riders,w,fnatic,l,12-5-20,Inferno,ESL One: Road to Rio - Europe
Movistar Riders,w,fnatic,l,12-5-20,Inferno,ESL One: Road to Rio - Europe
GODSENT,l,Vitality,w,12-5-20,Inferno,ESL One: Road to Rio - Europe
GODSENT,l,Vitality,w,12-5-20,Inferno,ESL One: Road to Rio - Europe
Pompa,l,Espada,w,12-5-20,Mirage,SECTOR: MOSTBET Season 3
Pompa,l,Espada,w,12-5-20,Mirage,SECTOR: MOSTBET Season 3
Salamander,l,Hard Legion,w,12-5-20,Inferno,Home Sweet Home Cup 4
Salamander,l,Hard Legion,w,12-5-20,Inferno,Home Sweet Home Cup 4
Ambush,l,Salamander,w,12-5-20,Nuke,Home Sweet Home Cup 4
Hard Legion,w,ALTERNATE aTTaX,l,12-5-20,Overpass,Home Sweet Home Cup 4
Salamander,w,Tricked,l,11-5-20,Train,BLAST Rising 2020
ALTERNATE aTTaX,w,Endpoint,l,11-5-20,Vertigo,BLAST Rising 2020
Endpoint,w,Tricked,l,11-5-20,Inferno,BLAST Rising 2020
Salamander,l,ALTERNATE aTTaX,w,11-5-20,Inferno,BLAST Rising 2020
AVEZ,w,Secret,l,11-5-20,Nuke,Home Sweet Home Cup 5 Closed Qualifier
