Date,Teams,Score,Map,Event,Series
2-1-20,"['Rocketlauncher$', 'Ambush']","['16', '14']",Overpass,GG.BET Winter Cup	,25422
2-1-20,"['Ambush', 'Rocketlauncher$']","['16', '7']",Inferno,GG.BET Winter Cup	,25422
2-1-20,"['Rocketlauncher$', 'Ambush']","['8', '16']",Dust2,GG.BET Winter Cup	,25422
2-1-20,"['SKADE', 'Brute']","['16', '10']",Inferno,GG.BET Winter Cup	,25421
2-1-20,"['SKADE', 'Brute']","['16', '14']",Nuke,GG.BET Winter Cup	,25421
3-1-20,"['SKADE', 'Ambush']","['22', '20']",Inferno,GG.BET Winter Cup	,25420
3-1-20,"['Ambush', 'SKADE']","['13', '16']",Train,GG.BET Winter Cup	,25420
3-1-20,"['Brute', 'Rocketlauncher$']","['8', '16']",Mirage,GG.BET Winter Cup	,25419
3-1-20,"['Rocketlauncher$', 'Brute']","['7', '16']",Inferno,GG.BET Winter Cup	,25419
3-1-20,"['Brute', 'Rocketlauncher$']","['16', '14']",Dust2,GG.BET Winter Cup	,25419
3-1-20,"['Brute', 'Ambush']","['16', '13']",Dust2,GG.BET Winter Cup	,25418
3-1-20,"['Ambush', 'Brute']","['16', '12']",Inferno,GG.BET Winter Cup	,25418
3-1-20,"['Brute', 'Ambush']","['16', '9']",Mirage,GG.BET Winter Cup	,25418
4-1-20,"['SKADE', 'FATE']","['13', '16']",Inferno,GG.BET Winter Cup	,25417
4-1-20,"['FATE', 'SKADE']","['12', '16']",Overpass,GG.BET Winter Cup	,25417
4-1-20,"['SKADE', 'FATE']","['16', '11']",Train,GG.BET Winter Cup	,25417
4-1-20,"['Brute', 'Phoenix']","['10', '16']",Dust2,GG.BET Winter Cup	,25416
4-1-20,"['Phoenix', 'Brute']","['16', '8']",Mirage,GG.BET Winter Cup	,25416
4-1-20,"['SKADE', 'Heroic']","['13', '16']",Inferno,GG.BET Winter Cup	,25415
4-1-20,"['Heroic', 'SKADE']","['16', '7']",Nuke,GG.BET Winter Cup	,25414
4-1-20,"['Big Frames', 'Rugratz']","['4', '16']",Nuke,Mythic Cup 5,25413
4-1-20,"['Rugratz', 'Big Frames']","['16', '7']",Mirage,Mythic Cup 5,25413
4-1-20,"['eUnited', 'RBG']","['16', '3']",Overpass,Mythic Cup 5,25412
4-1-20,"['RBG', 'eUnited']","['4', '16']",Train,Mythic Cup 5,25412
4-1-20,"['Divine', 'Oceanus']","['16', '9']",Dust2,Mythic Cup 5,25411
4-1-20,"['Oceanus', 'Divine']","['8', '16']",Train,Mythic Cup 5,25411
4-1-20,"['New England Whalers', 'Just For Fun']","['12', '16']",Inferno,Mythic Cup 5,25410
4-1-20,"['New England Whalers', 'Just For Fun']","['5', '16']",Mirage,Mythic Cup 5,25410
4-1-20,"['ex-iNTACT', 'Monstars']","['14', '16']",Mirage,Mythic Cup 5,25409
4-1-20,"['Monstars', 'ex-iNTACT']","['16', '10']",Inferno,Mythic Cup 5,25409
4-1-20,"['Singularity', 'Infinity']","['16', '3']",Overpass,Mythic Cup 5,25408
4-1-20,"['Infinity', 'Singularity']","['12', '16']",Mirage,Mythic Cup 5,25408
4-1-20,"['LiViD', 'Recon 5']","['13', '16']",Mirage,Mythic Cup 5,25407
4-1-20,"['Recon 5', 'LiViD']","['11', '16']",Nuke,Mythic Cup 5,25407
4-1-20,"['LiViD', 'Recon 5']","['16', '7']",Inferno,Mythic Cup 5,25407
4-1-20,"['Rap Gang', 'Bushido Boyz']","['14', '16']",Inferno,Mythic Cup 5,25406
4-1-20,"['Rap Gang', 'Bushido Boyz']","['16', '4']",Mirage,Mythic Cup 5,25406
4-1-20,"['Rap Gang', 'Bushido Boyz']","['16', '13']",Overpass,Mythic Cup 5,25406
5-1-20,"['Rugratz', 'Monstars']","['16', '3']",Mirage,Mythic Cup 5,25405
5-1-20,"['Monstars', 'Rugratz']","['9', '16']",Nuke,Mythic Cup 5,25405
5-1-20,"['Just For Fun', 'Divine']","['10', '16']",Inferno,Mythic Cup 5,25404
5-1-20,"['Just For Fun', 'Divine']","['16', '8']",Overpass,Mythic Cup 5,25404
5-1-20,"['Divine', 'Just For Fun']","['9', '16']",Mirage,Mythic Cup 5,25404
5-1-20,"['Singularity', 'LiViD']","['19', '16']",Train,Mythic Cup 5,25403
5-1-20,"['Singularity', 'LiViD']","['19', '15']",Nuke,Mythic Cup 5,25403
5-1-20,"['eUnited', 'Rap Gang']","['16', '12']",Overpass,Mythic Cup 5,25402
5-1-20,"['eUnited', 'Rap Gang']","['22', '20']",Mirage,Mythic Cup 5,25402
5-1-20,"['Phoenix', 'Gambit Youngsters']","['16', '11']",Overpass,GG.BET Winter Cup	,25401
5-1-20,"['Gambit Youngsters', 'Phoenix']","['10', '16']",Mirage,GG.BET Winter Cup	,25401
5-1-20,"['Phoenix', 'Heroic']","['8', '16']",Vertigo,GG.BET Winter Cup	,25400
5-1-20,"['Heroic', 'Phoenix']","['16', '5']",Mirage,GG.BET Winter Cup	,25400
5-1-20,"['Heroic', 'Phoenix']","['16', '10']",Overpass,GG.BET Winter Cup	,25400
5-1-20,"['Singularity', 'Rugratz']","['16', '14']",Overpass,Mythic Cup 5,25399
5-1-20,"['Rugratz', 'Singularity']","['19', '16']",Nuke,Mythic Cup 5,25399
5-1-20,"['Rugratz', 'Singularity']","['16', '12']",Mirage,Mythic Cup 5,25399
5-1-20,"['Just For Fun', 'eUnited']","['11', '16']",Nuke,Mythic Cup 5,25398
5-1-20,"['eUnited', 'Just For Fun']","['10', '16']",Mirage,Mythic Cup 5,25398
5-1-20,"['Just For Fun', 'eUnited']","['16', '9']",Dust2,Mythic Cup 5,25398
6-1-20,"['Rugratz', 'Just For Fun']","['5', '16']",Mirage,Mythic Cup 5,25397
6-1-20,"['Rugratz', 'Just For Fun']","['16', '19']",Train,Mythic Cup 5,25397
7-1-20,"['ViCi', 'Alpha Red']","['16', '3']",Overpass,IEM Katowice 2020 Asia Closed Qualifier,25396
7-1-20,"['Alpha Red', 'ViCi']","['10', '16']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,25396
7-1-20,"['Bren', 'R-Stars']","['19', '15']",Train,IEM Katowice 2020 Asia Closed Qualifier,25395
7-1-20,"['R-Stars', 'Bren']","['16', '7']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,25395
7-1-20,"['Bren', 'R-Stars']","['16', '10']",Dust2,IEM Katowice 2020 Asia Closed Qualifier,25395
7-1-20,"['TYLOO', 'Mazaalai']","['16', '9']",Mirage,IEM Katowice 2020 Asia Closed Qualifier,25394
7-1-20,"['TYLOO', 'Mazaalai']","['10', '16']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,25394
7-1-20,"['TYLOO', 'Mazaalai']","['16', '7']",Overpass,IEM Katowice 2020 Asia Closed Qualifier,25394
7-1-20,"['AUGUST', 'OneThree']","['16', '11']",Inferno,IEM Katowice 2020 Asia Closed Qualifier,25393
