Winner,Team1,Team2,Team1_Score,Team2_Score
FaZe,Renegades,FaZe,13,16
Renegades,FaZe,Renegades,22,25
Grayhound,SK,Grayhound,13,16
SK,Grayhound,SK,11,16
Grayhound,SK,Grayhound,11,16
TYLOO,Cloud9,TYLOO,10,16
TYLOO,TYLOO,Cloud9,16,14
Nexus,Nexus,LDLC,4,16
LDLC,Nexus,LDLC,11,16
forZe,Spirit,forZe,16,3
forZe,forZe,Spirit,16,10
Spirit,forZe,Spirit,17,19
FlipSid3,AVANGAR,FlipSid3,16,3
AVANGAR,FlipSid3,AVANGAR,12,16
x6tence,x6tence,Singularity,6,16
Singularity,x6tence,Singularity,18,22
EPG,Gambit,EPG,16,5
Gambit,EPG,Gambit,12,16
Tricked,Ha MaSSe,Tricked,13,16
Ha MaSSe,Tricked,Ha MaSSe,16,5
Asterion,Asterion,DIVIZON,16,12
Isurus,Yeah,Isurus,12,16
Yeah,Isurus,Yeah,10,16
Yeah,Yeah,Isurus,16,11
Singularity,Singularity,eXtatus,19,17
NOREG,x-kom,NOREG,16,8
NOREG,NOREG,x-kom,19,17
x-kom,x-kom,NOREG,8,16
Não Tem Como,Não Tem Como,Sharks,16,10
Sharks,Sharks,Não Tem Como,2,16
Yeah,C4,Yeah,13,16
C4,C4,Yeah,3,16
BOOT-d S ,BOOT-d S ,NRG,5,16
BOOT-d S ,BOOT-d S ,NRG,9,16
MVP PK,MVP PK,Chiefs,16,14
Chiefs,Chiefs,MVP PK,8,16
mousesports,mousesports,Astralis,9,16
mousesports,Astralis,mousesports,16,5
Cloud9,ORDER,Cloud9,16,7
ORDER,Cloud9,ORDER,16,4
Cloud9,Cloud9,ORDER,22,19
TheMongolz,MFC,TheMongolz,16,3
TheMongolz,TheMongolz,MFC,16,11
G2,fnatic,G2,12,16
G2,G2,fnatic,7,16
fnatic,fnatic,G2,16,14
Fierce Tiger,5POWER,Fierce Tiger,23,25
Fierce Tiger,5POWER,Fierce Tiger,17,19
Grayhound,FaZe,Grayhound,14,16
FaZe,FaZe,Grayhound,16,10
FaZe,FaZe,Grayhound,16,10
Signature,Signature,MAX,16,12
MAX,Signature,MAX,13,16
fnatic Academy,fnatic Academy,AVANGAR,7,16
AVANGAR,fnatic Academy,AVANGAR,16,6
fnatic Academy,fnatic Academy,AVANGAR,2,16
W7M,W7M,Yeah,22,19
Yeah,Yeah,W7M,6,16
Spirit,Spirit,Valiance,9,16
Fragsters,ALTERNATE aTTaX,Fragsters,16,2
aAa,HOLLYWOOD,aAa,13,16
adwokacik,adwokacik,Bpro,4,16
MAXISAUCISSE,WASD,MAXISAUCISSE,16,4
Enyoy,Enyoy,DreamEaters,16,14
Vexed,Vexed,AVANGAR,7,16
Izako Boars,Izako Boars,EURONICS,8,16
Yeah,Não Tem Como,Yeah,16,9
Yeah,Yeah,Não Tem Como,4,16
Hysteria,Complexity,Hysteria,16,5
aAa,Bpro,aAa,10,16
ALTERNATE aTTaX,EURONICS,ALTERNATE aTTaX,14,16
AVANGAR,AVANGAR,WASD,9,16
Valiance,Valiance,Enyoy,16,10
The Entourage,Normal People and Rustun,The Entourage,14,16
sk8erbois ,Dignitas,sk8erbois ,16,6
TeamOne,TeamOne,Turtle Squad,16,10
Bravado,Mythic,Bravado,16,2
Torqued,Torqued,Frag Kings,16,11
FURIA,FURIA,Isurus,16,11
Isurus,Isurus,FURIA,7,16
NEO Blue,NEO Blue,C4,7,16
C4,NEO Blue,C4,14,16
Torqued,Torqued,Mythic,3,16
TeamOne,eUnited,TeamOne,16,9
The Entourage,Complexity,The Entourage,16,3
mousesports,mousesports,MVP PK,16,12
NRG,G2,NRG,16,7
NRG,NRG,G2,16,14
MVP PK,MVP PK,mousesports,4,16
G2,NRG,G2,13,16
Dignitas,F1-racecar-PEEK,Dignitas,14,16
TYLOO,Renegades,TYLOO,12,16
Renegades,TYLOO,Renegades,16,8
Recca,Recca,IMBA.SAS,4,16
IMBA.SAS,Recca,IMBA.SAS,12,16
Cloud9,FaZe,Cloud9,16,9
Cloud9,Cloud9,FaZe,6,16
fnatic,fnatic,Astralis,9,16
fnatic,Astralis,fnatic,16,7
G2,mousesports,G2,16,9
G2,mousesports,G2,16,9
Eclipse,Eclipse,ROAR,16,13
ROAR,Eclipse,ROAR,11,16
SCARZ Absolute,EHOME,SCARZ Absolute,16,5
SCARZ Absolute,EHOME,SCARZ Absolute,16,4
Spirit,AVANGAR,Spirit,16,3
AVANGAR,AVANGAR,Spirit,16,10
Quantum Bellator Fire,GameAgents,Quantum Bellator Fire,11,16
Singularity,eXtatus,Singularity,11,16
eXtatus,eXtatus,Singularity,9,16
Valiance,ALTERNATE aTTaX,Valiance,10,16
Valiance,ALTERNATE aTTaX,Valiance,13,16
Quantum Bellator Fire,Gambit,Quantum Bellator Fire,12,16
Quantum Bellator Fire,Gambit,Quantum Bellator Fire,16,6
Quantum Bellator Fire,Quantum Bellator Fire,Gambit,2,16
LDLC,LDLC,fnatic Academy,16,11
Playing Ducks,Playing Ducks,PRIDE,19,15
PRIDE,PRIDE,Playing Ducks,3,16
Nemiga,Property,Nemiga,13,16
Nemiga,Nemiga,Property,22,18
W7M,W7M,Sharks,6,16
Sharks,W7M,Sharks,10,16
dizLown,dizLown,Royal Bandits,22,20
dizLown,Royal Bandits,dizLown,14,16
Singularity,Singularity,NOREG,16,12
NOREG,Singularity,NOREG,17,19
Singularity,Singularity,NOREG,16,14
aAa,WASD,aAa,12,16
aAa,aAa,WASD,8,16
WASD,WASD,aAa,19,16
k0pfsache,Pompa,k0pfsache,16,7
Pompa,Pompa,k0pfsache,16,1
Isurus,Não Tem Como,Isurus,16,4
Isurus,Isurus,Não Tem Como,16,13
Isurus,Não Tem Como,Isurus,16,9
Mythic,Mythic,eUnited,19,16
F1-racecar-PEEK,Gorilla Gang,F1-racecar-PEEK,12,16
Squirtle Squad,Squirtle Squad,eUnited,5,16
Complexity,Complexity,Dignitas,16,1
Dignitas,Dignitas,Complexity,6,16
Signature,Fierce Tiger,Signature,16,5
Signature,Signature,Fierce Tiger,6,16
fnatic,fnatic,FaZe,8,16
FaZe,FaZe,fnatic,16,14
MAX,MFC,MAX,16,7
MFC,MFC,MAX,16,1
Renegades,mousesports,Renegades,16,7
Renegades,mousesports,Renegades,23,25
mousesports,Renegades,mousesports,15,19
5POWER,5POWER,TheMongolz,16,12
TheMongolz,5POWER,TheMongolz,16,6
AVANGAR,LDLC,AVANGAR,16,6
LDLC,AVANGAR,LDLC,16,2
LDLC,AVANGAR,LDLC,16,6
Enyoy,Kinguin,Enyoy,16,6
Enyoy,Enyoy,Kinguin,16,14
Kinguin,Enyoy,Kinguin,16,19
Red Reserve,Quantum Bellator Fire,Red Reserve,13,16
Quantum Bellator Fire,Red Reserve,Quantum Bellator Fire,11,16
Quantum Bellator Fire,Red Reserve,Quantum Bellator Fire,16,9
Nemiga,Bpro,Nemiga,12,16
Bpro,Nemiga,Bpro,13,16
Nemiga,Nemiga,Bpro,5,16
North,North,Kinguin,7,16
Kinguin,Kinguin,North,5,16
North,Kinguin,North,14,16
Quantum Bellator Fire,AVANGAR,Quantum Bellator Fire,16,6
KoN Norway,KoN Norway,KoN Denmark,19,16
Heroic,Heroic,AGO,8,16
AGO,Heroic,AGO,16,7
Heroic,AGO,Heroic,16,9
Não Tem Como,Isurus,Não Tem Como,23,25
Isurus,Não Tem Como,Isurus,16,9
KoN Finland,KoN Norway,KoN Finland,16,7
KoN Sweden,KoN Norway,KoN Sweden,12,16
Isurus,FURIA,Isurus,16,6
FURIA,Isurus,FURIA,11,16
Bulldozer,CSBL,Bulldozer,16,2
Bulldozer,Bulldozer,CSBL,8,16
TYLOO,TYLOO,FaZe,9,16
FaZe,FaZe,TYLOO,9,16
TYLOO,FaZe,TYLOO,16,9
SCARZ Absolute,ROAR,SCARZ Absolute,16,8
ROAR,ROAR,SCARZ Absolute,4,16
IMBA.SAS,EHOME,IMBA.SAS,13,16
IMBA.SAS,IMBA.SAS,EHOME,9,16
mousesports,Astralis,mousesports,16,3
mousesports,mousesports,Astralis,19,17
mousesports,Astralis,mousesports,16,5
CPAVKY,CPAVKY,MeMyself&I,19,15
Windigo,Windigo,Fragsters,19,16
Windigo,Windigo,Fragsters,6,16
Fragsters,Fragsters,Windigo,7,16
SJ,DreamEaters,SJ,12,16
DreamEaters,SJ,DreamEaters,16,4
Tengri,Space Jam,Tengri,16,6
ENCE,ENCE,WAYE,16,14
Vega Squadron,Enyoy,Vega Squadron,14,16
Windigo,Windigo,Virtus.pro,16,13
Windigo,Windigo,Virtus.pro,2,16
Windigo,Windigo,Virtus.pro,8,16
pro100,Red Reserve,pro100,16,7
Tempo Storm,Weirdos,Tempo Storm,14,16
Nordavind,eXtatus,Nordavind,10,16
tomorrow,tomorrow,x-kom,16,13
x-kom,x-kom,tomorrow,22,19
x-kom,x-kom,tomorrow,16,14
Nexus,Nexus,Vexed,16,10
Gambit,Gambit,AVANGAR,4,16
AVANGAR,AVANGAR,Gambit,16,12
dizLown,1337HUANIA,dizLown,16,8
Nordavind,Nordavind,Space Jam,16,11
Nexus,Red Reserve,Nexus,11,16
Vega Squadron,Vega Squadron,ENCE,6,16
Tempo Storm,1337HUANIA,Tempo Storm,13,16
Isurus,W7M,Isurus,16,19
Isurus,Isurus,W7M,16,13
GODSENT,GODSENT,Imperial,8,16
GODSENT,GODSENT,Imperial,16,13
GODSENT,Imperial,GODSENT,11,16
EURONICS,yodelin,EURONICS,17,19
PRIDE,PACT,PRIDE,10,16
PRIDE,PACT,PRIDE,16,5
PRIDE,PRIDE,PACT,7,16
Crystal Vision,Crystal Vision,ez money crew,9,16
Dignitas,Dignitas,Fam143,16,10
Bravado,F1-racecar-PEEK,Bravado,14,16
Stacked Like Pancakes,Stacked Like Pancakes,Gorilla Gang,7,16
Swole Patrol,Swole Patrol,Armada,16,10
Normal People and Rustun,CERUS,Normal People and Rustun,16,19
Squirtle Squad,Squirtle Squad,mystic,16,11
Sharks,Sharks,Yeah,9,16
Yeah,Yeah,Sharks,3,16
Sharks,Sharks,Yeah,22,20
Squirtle Squad,Squirtle Squad,ez money crew,8,16
Gorilla Gang,Gorilla Gang,Dignitas,16,12
Bravado,Torqued,Bravado,14,16
Normal People and Rustun,Normal People and Rustun,Swole Patrol,5,16
5POWER,5POWER,MFC,16,10
5POWER,MFC,5POWER,23,25
FaZe,Astralis,FaZe,17,19
FaZe,FaZe,Astralis,22,20
FaZe,Astralis,FaZe,14,16
Control fe,Control fe,Sydney Saints,9,16
Control fe,Sydney Saints,Control fe,16,5
Signature,Signature,TheMongolz,16,13
TheMongolz,Signature,TheMongolz,16,2
GOSU,GOSU,Recca,6,16
GOSU,Recca,GOSU,12,16
Recca,GOSU,Recca,14,16
Fragsters,Nexus,Fragsters,10,16
Nexus,Nexus,Fragsters,5,16
Nordavind,Nordavind,Valiance,5,16
Nordavind,Nordavind,Valiance,3,16
ENCE,ENCE,AGO,16,10
ENCE,AGO,ENCE,11,16
Tempo Storm,Tempo Storm,Imperial,16,14
Imperial,Tempo Storm,Imperial,13,16
Imperial,Imperial,Tempo Storm,9,16
MAX,Fierce Tiger,MAX,12,16
Fierce Tiger,MAX,Fierce Tiger,11,16
ArkAngel,5POWER,ArkAngel,11,16
5POWER,ArkAngel,5POWER,16,7
Fragsters,Valiance,Fragsters,12,16
Fragsters,Fragsters,Valiance,16,13
LAUNCHPAD DERAIL,LAUNCHPAD DERAIL,Sad Story,2,16
ENCE,ENCE,Tempo Storm,16,14
Tempo Storm,Tempo Storm,ENCE,16,14
Tempo Storm,ENCE,Tempo Storm,12,16
Bpro,Bpro,EURONICS,8,16
EURONICS,EURONICS,Bpro,6,16
Bpro,Bpro,EURONICS,8,16
Virtus.pro,GODSENT,Virtus.pro,16,5
Virtus.pro,Virtus.pro,GODSENT,4,16
ez money crew,Complexity,ez money crew,16,2
ez money crew,Complexity,ez money crew,16,8
Swole Patrol,Swole Patrol,eUnited,9,16
eUnited,eUnited,Swole Patrol,16,1
Tempo Storm,Fragsters,Tempo Storm,16,5
Tempo Storm,Fragsters,Tempo Storm,16,9
Luminosity,Luminosity,Bravado,8,16
Luminosity,Bravado,Luminosity,11,16
Luminosity,Luminosity,Bravado,16,13
Rogue,Rogue,Gorilla Gang,16,13
Gorilla Gang,Rogue,Gorilla Gang,19,22
Rogue,Rogue,Gorilla Gang,16,11
Sharks,FURIA,Sharks,14,16
Sharks,FURIA,Sharks,14,16
Sharks,FURIA,Sharks,16,4
Sharks,Sharks,FURIA,16,12
Boomies Money Crew,Boomies Money Crew,CyberBullies Reborn,16,12
CyberBullies Reborn,CyberBullies Reborn,Boomies Money Crew,16,11
CyberBullies Reborn,Boomies Money Crew,CyberBullies Reborn,16,9
Frail Patrol,Frail Patrol,Sunshine,7,16
Sunshine,Sunshine,Frail Patrol,16,12
Complexity,eUnited,Complexity,15,19
eUnited,eUnited,Complexity,19,17
eUnited,eUnited,Complexity,16,10
Não Tem Como,Não Tem Como,W7M,16,12
Não Tem Como,W7M,Não Tem Como,10,16
Luminosity,Luminosity,Rogue,16,12
Rogue,Luminosity,Rogue,13,16
Rogue,Rogue,Luminosity,4,16
INTZ,Bulldozer,INTZ,16,5
INTZ,INTZ,Bulldozer,7,16
Boomies Money Crew,Boomies Money Crew,Sunshine,16,11
Boomies Money Crew,Sunshine,Boomies Money Crew,11,16
Luminosity,Luminosity,eUnited,16,14
eUnited,eUnited,Luminosity,16,13
eUnited,eUnited,Luminosity,2,16
ROAR,EHOME,ROAR,16,19
EHOME,ROAR,EHOME,13,16
SCARZ Absolute,Recca,SCARZ Absolute,11,16
SCARZ Absolute,Recca,SCARZ Absolute,14,16
Quantum Bellator Fire,GODSENT,Quantum Bellator Fire,14,16
GODSENT,Quantum Bellator Fire,GODSENT,11,16
GODSENT,Quantum Bellator Fire,GODSENT,13,16
Imperial,Imperial,AVANGAR,16,14
AVANGAR,AVANGAR,Imperial,16,14
AVANGAR,Imperial,AVANGAR,10,16
LDLC,LDLC,NOREG,16,11
LDLC,LDLC,NOREG,16,14
AGO,North,AGO,13,16
North,North,AGO,16,0
AGO,North,AGO,14,16
Valiance,Nexus,Valiance,1,16
GameAgents,Singularity,GameAgents,16,6
KPI,Spirit,KPI,16,5
KPI,KPI,Spirit,16,10
KPI,KPI,Spirit,16,14
Enyoy,Enyoy,Epsilon,8,16
Nexus,Nexus,Bpro,16,12
Singularity,AVANGAR,Singularity,14,16
Singularity,AVANGAR,Singularity,16,3
AVANGAR,AVANGAR,Singularity,16,1
Invictus Aquilas,GameAgents,Invictus Aquilas,16,6
Bulldozer,Bulldozer,FURIA,3,16
Bulldozer,Bulldozer,FURIA,9,16
GODSENT,AGO,GODSENT,10,16
GODSENT,GODSENT,AGO,16,11
MK,MK,Bajini Puleni,9,16
Não Tem Como,Não Tem Como,Yeah,16,1
Yeah,Não Tem Como,Yeah,16,9
Wild,Wild,Bulldozer,8,16
Bulldozer,Wild,Bulldozer,15,15
Sharks,Não Tem Como,Sharks,14,16
Não Tem Como,Não Tem Como,Sharks,16,10
Não Tem Como,Não Tem Como,Sharks,16,10
5POWER,5POWER,Signature,16,13
Signature,Signature,5POWER,9,16
TheMongolz,Fierce Tiger,TheMongolz,16,2
TheMongolz,Fierce Tiger,TheMongolz,14,16
MFC,MFC,Fierce Tiger,16,12
MFC,MFC,Fierce Tiger,16,13
ORDER,ORDER,STREAMLINE,16,1
ORDER,STREAMLINE,ORDER,13,16
Quantum Bellator Fire,Windigo Academy,Quantum Bellator Fire,12,16
Windigo Academy,Windigo Academy,Quantum Bellator Fire,2,16
SJ,AVANGAR,SJ,16,9
Quantum Bellator Fire,MK,Quantum Bellator Fire,25,28
PRIDE,EPG,PRIDE,16,6
PRIDE,EPG,PRIDE,12,16
EURONICS,FlipSid3,EURONICS,11,16
Ha MaSSe,Epsilon,Ha MaSSe,17,19
Ha MaSSe,Epsilon,Ha MaSSe,16,7
Virtue,FURIA,Virtue,10,16
Virtue,Virtue,FURIA,8,16
Virtue,FURIA,Virtue,10,16
Liquid,Liquid,Rogue,16,11
Rogue,Liquid,Rogue,16,7
FURIA,FURIA,C4,16,1
FURIA,FURIA,C4,16,14
Recca,EHOME,Recca,13,16
Recca,EHOME,Recca,12,16
ArkAngel,TYLOO,ArkAngel,16,6
ArkAngel,ArkAngel,TYLOO,8,16
ROAR,ROAR,IMBA.SAS,16,12
IMBA.SAS,ROAR,IMBA.SAS,11,16
Windigo,Windigo,BIG,8,16
Windigo,Windigo,BIG,16,1
Windigo,BIG,Windigo,16,9
Envy,Envy,Spirit,7,16
Envy,Envy,Spirit,16,10
Spirit,Envy,Spirit,16,9
WINside,HOLLYWOOD,WINside,16,9
HOLLYWOOD,HOLLYWOOD,WINside,16,10
MVP PK,MVP PK,Recca,9,16
Recca,Recca,MVP PK,16,12
TheMongolz,VG.Flash,TheMongolz,12,16
TheMongolz,VG.Flash,TheMongolz,16,9
TheMongolz,VG.Flash,TheMongolz,16,6
Endpoint,GameAgents,Endpoint,10,16
eUnited,Swole Patrol,eUnited,16,3
eUnited,eUnited,Swole Patrol,16,10
eUnited,eUnited,Swole Patrol,16,13
Complexity,Complexity,Torqued,22,20
Torqued,Torqued,Complexity,8,16
Movistar Riders,ALTERNATE aTTaX,Movistar Riders,13,16
Great Danes,AllTheStars,Great Danes,16,5
Great Danes,AllTheStars,Great Danes,11,16
AllTheStars,AllTheStars,Great Danes,16,13
mousesports,mousesports,G2,7,16
LDLC,Property,LDLC,13,16
mousesports,G2,mousesports,11,16
AGO,AGO,Windigo,16,11
AGO,Windigo,AGO,11,16
Swole Patrol,ex-Splyce,Swole Patrol,16,3
ex-Splyce,Swole Patrol,ex-Splyce,10,16
Gambit,mousesports,Gambit,14,16
Bulldozer,C4,Bulldozer,16,5
C4,C4,Bulldozer,19,16
Gambit,Gambit,mousesports,19,17
Luminosity,Luminosity,SK,16,11
Não Tem Como,FURIA,Não Tem Como,10,16
FURIA,Não Tem Como,FURIA,13,16
Não Tem Como,FURIA,Não Tem Como,14,16
Não Tem Como,Não Tem Como,FURIA,16,12
Luminosity,SK,Luminosity,11,16
Rogue,Rogue,Cloud9,8,16
Rogue,Rogue,Cloud9,8,16
MAX,MAX,5POWER,5,16
MAX,5POWER,MAX,16,6
Signature,Signature,MFC,16,10
MFC,MFC,Signature,16,12
Envy,Envy,AGO,4,16
AGO,AGO,Envy,16,10
Complexity,Complexity,ex-Splyce,16,11
ex-Splyce,ex-Splyce,Complexity,7,16
Tainted Minds,Taboo,Tainted Minds,14,16
TYLOO,TYLOO,BOOT-d S ,16,14
TYLOO,BOOT-d S ,TYLOO,16,8
BOOT-d S ,BOOT-d S ,TYLOO,2,16
Tainted Minds,Tainted Minds,Taboo,16,11
Control,Surge,Control,10,16
Spirit,Windigo,Spirit,16,8
Spirit,Spirit,Windigo,8,16
Surge,Control,Surge,16,8
Swole Patrol,Swole Patrol,Torqued,16,11
Torqued,Torqued,Swole Patrol,9,16
Recca,VG.Flash,Recca,16,3
Recca,Recca,VG.Flash,3,16
AVANGAR,AVANGAR,Singularity,16,11
AVANGAR,Singularity,AVANGAR,11,16
Windigo,Envy,Windigo,16,4
Windigo,Windigo,Envy,16,11
Envy,Envy,Windigo,5,16
GameAgents,GameAgents,Valiance,4,16
SJ,SJ,Nemiga,16,14
Nemiga,Nemiga,SJ,16,12
SJ,SJ,Nemiga,16,11
ex-Splyce,ex-Splyce,Swole Patrol,16,10
Swole Patrol,Swole Patrol,ex-Splyce,19,17
ex-Splyce,ex-Splyce,Swole Patrol,16,10
Bpro,Bpro,Valiance,7,16
Gambit,Gambit,Astralis,6,16
fnatic,fnatic,GODSENT,16,14
NiP,NiP,FaZe,22,18
Playing Ducks,Nexus,Playing Ducks,16,5
Nexus,Nexus,Playing Ducks,16,10
Invictus Aquilas,Bajini Puleni,Invictus Aquilas,16,2
Astralis,Astralis,Gambit,16,10
GODSENT,fnatic,GODSENT,14,16
EURONICS,LDLC,EURONICS,16,9
LDLC,EURONICS,LDLC,14,16
Asterion,Asterion,Kinguin,16,13
Asterion,Kinguin,Asterion,16,2
Kinguin,Asterion,Kinguin,10,16
FaZe,FaZe,NiP,16,12
Pompa,Quantum Bellator Fire,Pompa,16,8
Pompa,Quantum Bellator Fire,Pompa,16,19
Bpro,Bpro,MK,16,13
FURIA,C4,FURIA,13,16
C4,C4,FURIA,8,16
GODSENT,GODSENT,FaZe,16,14
FaZe,GODSENT,FaZe,13,16
SK,Liquid,SK,12,16
SK,SK,Liquid,22,19
eUnited,Rogue,eUnited,16,5
Rogue,eUnited,Rogue,11,16
SCARZ Absolute,SCARZ Absolute,IMBA.SAS,16,11
SCARZ Absolute,SCARZ Absolute,IMBA.SAS,16,11
ORDER,BIG,ORDER,16,6
ROAR,Recca,ROAR,14,16
Recca,ROAR,Recca,16,8
Swole Patrol,Swole Patrol,Spirit,7,16
eUnited,eUnited,Yeah,16,10
TheMongolz,TheMongolz,MVP PK,7,16
TheMongolz,MVP PK,TheMongolz,16,6
Torqued,Windigo,Torqued,13,16
BIG,BIG,Spirit,16,1
eUnited,Torqued,eUnited,14,16
G2,NiP,G2,10,16
KoN Finland,KoN Denmark,KoN Finland,16,4
ORDER,ORDER,Swole Patrol,19,16
Swole Patrol,ORDER,Swole Patrol,16,3
G2,G2,NiP,16,12
Virtue,Bulldozer,Virtue,14,16
Virtue,Virtue,Bulldozer,16,10
FaZe,FaZe,Envy,19,15
KoN Denmark,KoN Denmark,KoN Sweden,6,16
FaZe,FaZe,Envy,6,16
INTZ,Virtue,INTZ,16,9
INTZ,INTZ,Virtue,3,16
G2,Envy,G2,14,16
CSBL,CSBL,C4,16,14
Renegades,OpTic,Renegades,16,19
G2,Envy,G2,13,16
CSBL,C4,CSBL,16,8
OpTic,OpTic,Renegades,4,16
NSPR,MiTH,NSPR,16,9
NSPR,NSPR,MiTH,5,16
SCARZ Absolute,TYLOO,SCARZ Absolute,16,8
SCARZ Absolute,TYLOO,SCARZ Absolute,16,6
BOOT-d S ,BOOT-d S ,Fierce Tiger,16,11
BOOT-d S ,BOOT-d S ,Fierce Tiger,25,23
Neolution Lelix,Beyond,Neolution Lelix,16,8
Neolution Lelix,Neolution Lelix,Beyond,5,16
ROAR,ROAR,VG.Flash,6,16
ROAR,ROAR,VG.Flash,2,16
Kepsilon,TzatzikiKlubben,Kepsilon,13,16
TzatzikiKlubben,Kepsilon,TzatzikiKlubben,13,16
Kepsilon,TzatzikiKlubben,Kepsilon,16,6
5POWER,5POWER,MVP PK,16,10
MVP PK,MVP PK,5POWER,16,10
MVP PK,5POWER,MVP PK,16,8
Windigo,Windigo,Yeah,16,1
Yeah,Yeah,Windigo,7,16
x-kom,AGO,x-kom,16,9
x-kom,x-kom,AGO,19,17
x-kom,AGO,x-kom,16,3
Vega Squadron,Vega Squadron,FriendlyFire,19,16
ORDER,Spirit,ORDER,16,5
ORDER,Spirit,ORDER,16,7
AliGon,AliGon,hellslayerz,19,17
hellslayerz,AliGon,hellslayerz,16,9
CPAVKY,CPAVKY,FriendlyFire,16,12
Vega Squadron,AVANGAR,Vega Squadron,16,6
Vega Squadron,AVANGAR,Vega Squadron,16,9
Windigo,Torqued,Windigo,16,6
Windigo,Windigo,Torqued,16,11
Windigo,Windigo,Torqued,16,11
Endpoint,Quantum Bellator Fire,Endpoint,14,16
PACT,Kinguin,PACT,12,16
PACT,PACT,Kinguin,6,16
PACT,Kinguin,PACT,16,8
Great Danes,Spirifex,Great Danes,17,19
AliGon,AliGon,TzatzikiKlubben,9,16
AliGon,TzatzikiKlubben,AliGon,14,16
TzatzikiKlubben,AliGon,TzatzikiKlubben,16,6
NiP,NiP,Virtus.pro,16,10
Virtue,C4,Virtue,11,16
C4,Virtue,C4,16,5
Virtus.pro,Virtus.pro,Envy,16,14
AVANGAR,EURONICS,AVANGAR,14,16
Great Danes,Lyngby Vikings,Great Danes,16,5
Great Danes,Lyngby Vikings,Great Danes,17,19
Lyngby Vikings,Lyngby Vikings,Great Danes,19,16
Virtus.pro,Envy,Virtus.pro,14,16
C4,C4,INTZ,16,13
C4,C4,INTZ,16,11
Luminosity,Luminosity,Liquid,8,16
Luminosity,Liquid,Luminosity,16,3
INTZ,FURIA,INTZ,16,9
FURIA,INTZ,FURIA,16,4
INTZ,FURIA,INTZ,16,3
TYLOO,TYLOO,BOOT-d S ,16,11
BOOT-d S ,BOOT-d S ,TYLOO,6,16
Signature,Signature,MiTH,16,14
MiTH,MiTH,Signature,9,16
VG.Flash,VG.Flash,5POWER,16,11
VG.Flash,5POWER,VG.Flash,14,16
Lucid Dream,Lucid Dream,Beyond,6,16
Lucid Dream,Beyond,Lucid Dream,16,8
AGO,AGO,Kinguin,16,11
AGO,Kinguin,AGO,12,16
x-kom,PACT,x-kom,17,19
x-kom,x-kom,PACT,8,16
x-kom,PACT,x-kom,16,4
BIG,BIG,Windigo,16,11
Windigo,BIG,Windigo,14,16
Windigo,BIG,Windigo,16,7
Beyond,Signature,Beyond,1,16
Signature,Beyond,Signature,11,16
Signature,Signature,Beyond,9,16
dizLown,dizLown,ALTERNATE aTTaX,19,15
ALTERNATE aTTaX,ALTERNATE aTTaX,dizLown,16,13
ALTERNATE aTTaX,dizLown,ALTERNATE aTTaX,10,16
GoodJob,GoodJob,Space Jam,6,16
HOLLYWOOD,Pompa,HOLLYWOOD,13,16
HOLLYWOOD,Space Jam,HOLLYWOOD,17,19
Spirit,eUnited,Spirit,10,16
Spirit,eUnited,Spirit,12,16
Chaos,Singularity,Chaos,10,16
Chaos,Singularity,Chaos,14,16
ALTERNATE aTTaX,Red Reserve,ALTERNATE aTTaX,10,16
Red Reserve,ALTERNATE aTTaX,Red Reserve,16,2
OPAA,EURONICS,OPAA,16,19
EURONICS,OPAA,EURONICS,12,16
EURONICS,EURONICS,OPAA,16,11
5balls,HEY,5balls,14,16
HEY,5balls,HEY,13,16
5balls,HEY,5balls,16,19
Spirit,Spirit,BIG,9,16
BIG,Spirit,BIG,14,16
Asterion,Vega Squadron,Asterion,16,8
Singularity,Quantum Bellator Fire,Singularity,14,16
ENCE,LDLC,ENCE,12,16
LDLC,LDLC,ENCE,8,16
ALTERNATE aTTaX,EURONICS,ALTERNATE aTTaX,16,19
ALTERNATE aTTaX,EURONICS,ALTERNATE aTTaX,16,4
ALTERNATE aTTaX,ALTERNATE aTTaX,EURONICS,16,14
FURIA,FURIA,Não Tem Como,16,13
FURIA,FURIA,Não Tem Como,19,16
NOBO,NOBO,Singularity,16,12
NOBO,NOBO,Singularity,16,13
AGO,AGO,Red Reserve,22,20
AGO,Red Reserve,AGO,10,16
Invictus Aquilas,NOBO,Invictus Aquilas,16,7
NOBO,NOBO,Invictus Aquilas,16,10
Kinguin,Tempo Storm,Kinguin,14,16
Tempo Storm,Kinguin,Tempo Storm,16,4
EPG,EnVyUs Academy,EPG,11,16
AVANGAR,AVANGAR,Quantum Bellator Fire,16,10
Quantum Bellator Fire,Quantum Bellator Fire,AVANGAR,5,16
SJ,FlipSid3,SJ,11,16
SJ,SJ,FlipSid3,19,17
Invictus Aquilas,Invictus Aquilas,Valiance,9,16
GameAgents,Bpro,GameAgents,16,5
Virtue,Virtue,Sharks,16,0
Sharks,Virtue,Sharks,16,2
KPI,Kinguin,KPI,16,9
Kinguin,KPI,Kinguin,17,19
Chaos,Chaos,ALTERNATE aTTaX,16,10
ALTERNATE aTTaX,ALTERNATE aTTaX,Chaos,16,12
Chaos,ALTERNATE aTTaX,Chaos,16,4
Imperial,Imperial,PAPERPLANES,16,12
PAPERPLANES,PAPERPLANES,Imperial,16,11
PAPERPLANES,PAPERPLANES,Imperial,16,10
MK,GameAgents,MK,14,16
