Date,Teams,Score,Map,Event,Series
4-1-18,"['ViCi', 'New4']","['16', '6']",Inferno,Letou Invitational,11109
4-1-18,"['Red Wolf', 'New4']","['1', '16']",Cache,Letou Invitational,11108
4-1-18,"['MVP PK', 'ex-T.O.T']","['12', '16']",Overpass,Letou Invitational,11107
4-1-18,"['ROG fl0m', 'ROG friberg']","['22', '20']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11106
4-1-18,"['ROG friberg', 'ROG fl0m']","['16', '4']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11106
4-1-18,"['ROG friberg', 'ROG fl0m']","['16', '14']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11106
4-1-18,"['AGO', 'eXtatus']","['16', '14']",Mirage,ESEA MDL Season 26 Europe Finals,11105
4-1-18,"['AGO', 'eXtatus']","['16', '11']",Train,ESEA MDL Season 26 Europe Finals,11105
4-1-18,"['ROG SkitzMACHINE', 'ROG Pimp']","['5', '16']",Nuke,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11104
4-1-18,"['ROG Pimp', 'ROG SkitzMACHINE']","['16', '8']",Overpass,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11104
4-1-18,"['SoaR', 'Rise Nation']","['19', '16']",Mirage,ESEA MDL Season 26 North America Finals,11103
4-1-18,"['SoaR', 'Rise Nation']","['7', '16']",Inferno,ESEA MDL Season 26 North America Finals,11103
4-1-18,"['Rise Nation', 'SoaR']","['12', '16']",Train,ESEA MDL Season 26 North America Finals,11103
5-1-18,"['ROAR', 'MVP PK']","['13', '16']",Overpass,Daddyskins Asia Super League,11102
5-1-18,"['MVP PK', 'ROAR']","['16', '13']",Train,Daddyskins Asia Super League,11102
5-1-18,"['ViCi', 'Red Wolf']","['16', '6']",Inferno,Letou Invitational,11101
5-1-18,"['ViCi', 'Red Wolf']","['16', '4']",Cobblestone,Daddyskins Asia Super League,11100
5-1-18,"['Red Wolf', 'ViCi']","['16', '10']",Mirage,Daddyskins Asia Super League,11100
5-1-18,"['ViCi', 'Red Wolf']","['16', '8']",Inferno,Daddyskins Asia Super League,11100
5-1-18,"['Flash', 'ex-T.O.T']","['16', '9']",Cache,Letou Invitational,11099
5-1-18,"['ViCi', 'ex-T.O.T']","['16', '8']",Mirage,Letou Invitational,11098
5-1-18,"['ViCi', 'ex-T.O.T']","['16', '10']",Cobblestone,Letou Invitational,11098
5-1-18,"['Chiefs', 'AGO']","['5', '16']",Train,ESEA Season 26 MDL Global Challenge,11097
5-1-18,"['Space Soldiers', 'Rise Nation']","['16', '7']",Mirage,ESEA Season 26 MDL Global Challenge,11096
5-1-18,"['ROG nooky', 'ROG HOUNGOUNGAGNE']","['6', '16']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11095
5-1-18,"['ROG nooky', 'ROG HOUNGOUNGAGNE']","['21', '25']",Cache,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11095
5-1-18,"['Ghost Academy', 'SoaR']","['24', '28']",Mirage,ESEA Season 26 MDL Global Challenge,11094
5-1-18,"['eXtatus', 'GX']","['16', '11']",Cache,ESEA Season 26 MDL Global Challenge,11093
5-1-18,"['ROG IzakOOO', 'ROG strike']","['16', '9']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11092
5-1-18,"['ROG IzakOOO', 'ROG strike']","['19', '17']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11092
5-1-18,"['Space Soldiers', 'AGO']","['11', '16']",Cobblestone,ESEA Season 26 MDL Global Challenge,11091
5-1-18,"['SoaR', 'eXtatus']","['9', '16']",Train,ESEA Season 26 MDL Global Challenge,11090
6-1-18,"['Chiefs', 'Rise Nation']","['19', '17']",Overpass,ESEA Season 26 MDL Global Challenge,11089
6-1-18,"['GX', 'Ghost Academy']","['13', '16']",Mirage,ESEA Season 26 MDL Global Challenge,11088
6-1-18,"['ROAR', 'Red Wolf']","['8', '16']",Cache,Daddyskins Asia Super League,11087
6-1-18,"['ROAR', 'Red Wolf']","['5', '16']",Mirage,Daddyskins Asia Super League,11087
6-1-18,"['ViCi', 'MVP PK']","['12', '16']",Overpass,Daddyskins Asia Super League,11086
6-1-18,"['MVP PK', 'ViCi']","['6', '16']",Inferno,Daddyskins Asia Super League,11086
6-1-18,"['ViCi', 'MVP PK']","['9', '16']",Train,Daddyskins Asia Super League,11086
6-1-18,"['New4', 'ViCi']","['9', '16']",Inferno,Letou Invitational,11085
6-1-18,"['ViCi', 'New4']","['13', '16']",Mirage,Letou Invitational,11085
6-1-18,"['New4', 'ViCi']","['13', '16']",Train,Letou Invitational,11085
6-1-18,"['Chiefs', 'Space Soldiers']","['9', '16']",Cobblestone,ESEA Season 26 MDL Global Challenge,11084
6-1-18,"['ROG friberg', 'ROG Pimp']","['16', '5']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11083
6-1-18,"['ROG Pimp', 'ROG friberg']","['14', '16']",Overpass,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11083
6-1-18,"['SoaR', 'Ghost Academy']","['19', '22']",Inferno,ESEA Season 26 MDL Global Challenge,11082
6-1-18,"['eXtatus', 'Space Soldiers']","['16', '12']",Overpass,ESEA Season 26 MDL Global Challenge,11081
6-1-18,"['eXtatus', 'Space Soldiers']","['9', '16']",Mirage,ESEA Season 26 MDL Global Challenge,11081
6-1-18,"['Space Soldiers', 'eXtatus']","['16', '13']",Inferno,ESEA Season 26 MDL Global Challenge,11081
6-1-18,"['ROG HOUNGOUNGAGNE', 'ROG IzakOOO']","['6', '16']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11080
6-1-18,"['ROG IzakOOO', 'ROG HOUNGOUNGAGNE']","['16', '13']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11080
6-1-18,"['AGO', 'Ghost Academy']","['16', '2']",Train,ESEA Season 26 MDL Global Challenge,11079
6-1-18,"['Ghost Academy', 'AGO']","['5', '16']",Overpass,ESEA Season 26 MDL Global Challenge,11079
7-1-18,"['Zer0 Expectations', 'Legacy']","['11', '16']",Mirage,IEM Katowice 2018 Oceania Open Qualifier #1,11078
7-1-18,"['Athletico', 'Masterminds']","['16', '7']",Cobblestone,IEM Katowice 2018 Oceania Open Qualifier #1,11077
7-1-18,"['Legacy', 'Athletico']","['16', '19']",Cache,IEM Katowice 2018 Oceania Open Qualifier #1,11076
7-1-18,"['Legacy', 'Athletico']","['12', '16']",Inferno,IEM Katowice 2018 Oceania Open Qualifier #1,11076
7-1-18,"['MVP PK', 'XCN']","['16', '2']",Nuke,IEM Katowice 2018 Asia Open Qualifier #1,11075
7-1-18,"['Ardeont', 'Lucid Dream']","['16', '12']",Overpass,IEM Katowice 2018 Asia Open Qualifier #1,11074
7-1-18,"['AGO', 'Space Soldiers']","['22', '18']",Mirage,ESEA Season 26 MDL Global Challenge,11073
7-1-18,"['Space Soldiers', 'AGO']","['12', '16']",Train,ESEA Season 26 MDL Global Challenge,11073
7-1-18,"['Blackwoodproductions', 'Swole Patrol']","['12', '16']",Mirage,Legend Series North America Finals,11072
7-1-18,"['Swole Patrol', 'Blackwoodproductions']","['16', '3']",Inferno,Legend Series North America Finals,11072
7-1-18,"['Etherian', 'RONIN']","['16', '6']",Inferno,Legend Series North America Finals,11071
7-1-18,"['RONIN', 'Etherian']","['6', '16']",Overpass,Legend Series North America Finals,11071
7-1-18,"['Space Soldiers', 'Natus Vincere']","['10', '16']",Inferno,ESL Pro League Season 6 Europe Relegation,11070
7-1-18,"['Natus Vincere', 'Space Soldiers']","['14', '16']",Mirage,ESL Pro League Season 6 Europe Relegation,11070
7-1-18,"['Natus Vincere', 'Space Soldiers']","['16', '8']",Train,ESL Pro League Season 6 Europe Relegation,11070
7-1-18,"['ROG friberg', 'ROG IzakOOO']","['13', '16']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11069
7-1-18,"['ROG friberg', 'ROG IzakOOO']","['19', '16']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11069
7-1-18,"['ROG IzakOOO', 'ROG friberg']","['5', '16']",Cache,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11069
7-1-18,"['Blackwoodproductions', 'RONIN']","['22', '18']",Mirage,Legend Series North America Finals,11068
7-1-18,"['Swole Patrol', 'Etherian']","['16', '6']",Mirage,Legend Series North America Finals,11067
7-1-18,"['Swole Patrol', 'Etherian']","['16', '9']",Train,Legend Series North America Finals,11067
8-1-18,"['Ghost', 'Rise Nation']","['16', '13']",Nuke,ESL Pro League Season 6 North America Relegation,11066
8-1-18,"['Rise Nation', 'Ghost']","['16', '14']",Train,ESL Pro League Season 6 North America Relegation,11066
8-1-18,"['Rise Nation', 'Ghost']","['6', '16']",Mirage,ESL Pro League Season 6 North America Relegation,11066
8-1-18,"['Etherian', 'Blackwoodproductions']","['16', '7']",Cache,Legend Series North America Finals,11065
8-1-18,"['Rogue', 'GX']","['16', '6']",Inferno,ESL Pro League Season 6 North America Relegation,11064
8-1-18,"['GX', 'Rogue']","['9', '16']",Mirage,ESL Pro League Season 6 North America Relegation,11064
8-1-18,"['Swole Patrol', 'Etherian']","['8', '16']",Overpass,Legend Series North America Finals,11063
8-1-18,"['Swole Patrol', 'Etherian']","['16', '6']",Inferno,Legend Series North America Finals,11063
8-1-18,"['Swole Patrol', 'Etherian']","['11', '16']",Mirage,Legend Series North America Finals,11063
8-1-18,"['Swole Patrol', 'Etherian']","['16', '14']",Train,Legend Series North America Finals,11063
8-1-18,"['Ardeont', 'MVP PK']","['2', '16']",Inferno,IEM Katowice 2018 Asia Open Qualifier #1,11062
8-1-18,"['Ardeont', 'MVP PK']","['12', '16']",Nuke,IEM Katowice 2018 Asia Open Qualifier #1,11062
8-1-18,"['ViCi', 'Red Wolf']","['16', '2']",Inferno,Daddyskins Asia Super League,11061
8-1-18,"['ViCi', 'Red Wolf']","['10', '16']",Mirage,Daddyskins Asia Super League,11061
8-1-18,"['ViCi', 'Red Wolf']","['19', '16']",Train,Daddyskins Asia Super League,11061
8-1-18,"['MVP PK', 'ViCi']","['16', '10']",Inferno,Daddyskins Asia Super League,11060
8-1-18,"['MVP PK', 'ViCi']","['16', '11']",Mirage,Daddyskins Asia Super League,11060
8-1-18,"['Rise Nation', 'GX']","['16', '14']",Inferno,ESL Pro League Season 6 North America Relegation,11059
8-1-18,"['GX', 'Rise Nation']","['10', '16']",Mirage,ESL Pro League Season 6 North America Relegation,11059
8-1-18,"['LANg0ds', 'ALTERNATE aTTaX']","['11', '16']",Overpass,DaddySkins Western League,11058
8-1-18,"['ALTERNATE aTTaX', 'LANg0ds']","['16', '7']",Inferno,DaddySkins Western League,11057
8-1-18,"['Rogue', 'Ghost']","['11', '16']",Cobblestone,ESL Pro League Season 6 North America Relegation,11056
8-1-18,"['Ghost', 'Rogue']","['16', '7']",Overpass,ESL Pro League Season 6 North America Relegation,11056
8-1-18,"['Rogue', 'Rise Nation']","['19', '17']",Inferno,ESL Pro League Season 6 North America Relegation,11055
8-1-18,"['Rise Nation', 'Rogue']","['12', '16']",Mirage,ESL Pro League Season 6 North America Relegation,11055
9-1-18,"['Red Reserve', 'Tricked']","['16', '4']",Cobblestone,DaddySkins Western League,11054
9-1-18,"['Red Reserve', 'Tricked']","['16', '13']",Overpass,DaddySkins Western League,11054
9-1-18,"['ALTERNATE aTTaX', 'North Academy']","['11', '16']",Train,DaddySkins Western League,11053
9-1-18,"['North Academy', 'ALTERNATE aTTaX']","['2', '16']",Inferno,DaddySkins Western League,11053
9-1-18,"['ALTERNATE aTTaX', 'North Academy']","['9', '16']",Overpass,DaddySkins Western League,11053
10-1-18,"['Reason', 'Movistar Riders']","['19', '17']",Train,DaddySkins Western League,11052
10-1-18,"['Movistar Riders', 'Reason']","['19', '16']",Overpass,DaddySkins Western League,11052
10-1-18,"['Reason', 'Movistar Riders']","['16', '7']",Cache,DaddySkins Western League,11052
10-1-18,"['Singularity', 'aAa']","['6', '16']",Inferno,DaddySkins Western League,11051
10-1-18,"['aAa', 'Singularity']","['19', '16']",Train,DaddySkins Western League,11051
11-1-18,"['Fire Dragoon', 'MVP PK']","['7', '16']",Train,WESG 2017 Asia-Pacific Regional Finals,11050
11-1-18,"['New4', 'Control']","['16', '11']",Cache,WESG 2017 Asia-Pacific Regional Finals,11049
11-1-18,"['Wolfhound', 'LEOPARD']","['1', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11048
11-1-18,"['ORDER', 'Portal']","['25', '21']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11047
11-1-18,"['New4', 'LEOPARD']","['16', '2']",Train,WESG 2017 Asia-Pacific Regional Finals,11046
11-1-18,"['Portal', 'Fire Dragoon']","['17', '19']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11045
11-1-18,"['Parallax', 'Control']","['22', '19']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11044
11-1-18,"['ORDER', 'Chosen5']","['16', '9']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11043
11-1-18,"['Parallax', 'Wolfhound']","['16', '2']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11042
11-1-18,"['LEOPARD', 'Control']","['16', '2']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11041
11-1-18,"['MVP PK', 'Chosen5']","['16', '10']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11040
11-1-18,"['ORDER', 'Fire Dragoon']","['16', '6']",Train,WESG 2017 Asia-Pacific Regional Finals,11039
11-1-18,"['Parallax', 'LEOPARD']","['16', '8']",Overpass,WESG 2017 Asia-Pacific Regional Finals,11038
11-1-18,"['Wolfhound', 'New4']","['2', '16']",Cache,WESG 2017 Asia-Pacific Regional Finals,11037
11-1-18,"['Fire Dragoon', 'Chosen5']","['5', '16']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals,11036
11-1-18,"['New4', 'Parallax']","['19', '22']",Train,WESG 2017 Asia-Pacific Regional Finals,11035
11-1-18,"['MVP PK', 'Portal']","['16', '3']",Train,WESG 2017 Asia-Pacific Regional Finals,11034
11-1-18,"['Wolfhound', 'Control']","['5', '16']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11033
11-1-18,"['Asterisk fe', 'Powar Rangirls']","['11', '16']",Cache,WESG 2017 Asia-Pacific Regional Finals Female,11032
11-1-18,"['Powar Rangirls', 'Asterisk fe']","['9', '16']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals Female,11032
11-1-18,"['Powar Rangirls', 'Asterisk fe']","['3', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals Female,11032
11-1-18,"['Portal', 'Chosen5']","['17', '19']",Cache,WESG 2017 Asia-Pacific Regional Finals,11031
11-1-18,"['No IdeA', 'LeetPro fe']","['16', '7']",Inferno,WESG 2017 Asia-Pacific Regional Finals Female,11030
