Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Prima,Apeks,16,14,Vertigo
Team1,Prima,Defusekids,25,22,Mirage
Team1,Prima,FATE,16,4,Train
Team1,Prima,FATE,8,16,Train
Team1,Prima,Moops,16,14,Mirage
Team1,Prima,SKADE,10,16,Overpass
Team1,Prima,Turkey5,16,11,Dust2
Team1,Prima,Turkey5,16,14,Vertigo
Team1,Prima,Wisla Krakow,13,16,Dust2
Team2,Prima,Apeks,14,16,Overpass
Team2,Prima,FATE,11,16,Overpass
Team2,Prima,Moops,16,4,Vertigo
