Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Lowkey,Mythic,13,16,Overpass
Team1,Lowkey,Thunder Logic,5,16,Dust2
Team1,Lowkey,eUnited,5,16,Overpass
Team1,Lowkey,heX,13,16,Nuke
Team1,Lowkey,heX,6,16,Mirage
Team2,Lowkey,Envy,12,16,Nuke
Team2,Lowkey,Evidence,14,16,Dust2
Team2,Lowkey,Glizzy Gang,16,2,Nuke
Team2,Lowkey,Infinity,16,4,Nuke
Team2,Lowkey,Thunder Logic,12,16,Overpass
