Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Downfall,Ground Zero,7,16,Dust2
Team1,Downfall,ORDER,2,16,Inferno
Team1,Downfall,ex-Athletico,3,16,Mirage
Team1,Downfall,rewound,4,16,Inferno
Team2,Downfall,Jade,16,7,Train
Team2,Downfall,Justice,22,25,Dust2
