Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Overt,Forbidden,16,10,Dust2
Team1,Overt,Generation of Miracles,4,16,Train
Team2,Overt,Generation of Miracles,11,16,Inferno
Team2,Overt,Justice,16,8,Dust2
Team2,Overt,Skyfire,14,16,Vertigo
