Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,x1 Mob,Big Chillin,16,12,Inferno
Team1,x1 Mob,New Identity,4,16,Overpass
Team2,x1 Mob,Big Chillin,14,16,Mirage
